Japanese;English;French;German;
"魔物の角";"Monster Horn";"Corne de monstre";"Monsterhorn";
"魔物の肝";"Monster Guts";"Foie de monstre";"Monsterherz";
"迷子マイマイ";"Lost Maiamai";"Ti'gorneaux perdus";"Maimai";
"勇気の紋章";"Pendant of Courage";"Pendentif du courage";"Amulett des Mutes";
"力の紋章";"Pendant of Power";"Pendentif de la force";"Amulett der Kraft";
"おまもり";"Charm";"Amulette";"Talisman";
"知恵の紋章";"Pendant of Wisdom";"Pendentif de la sagesse";"Amulett der Weisheit";
"賢者 インパ";"Sage Impa";"Sage Impa";"Impa";
"賢者 オーレン";"Sage Oren";"Sage Orlène";"Oreen";
"賢者 グリ";"Sage Gulley";"Sage Guly";"Gri";
"賢者 アスファル";"Sage Osfala";"Sage Asphar";"Osfala";
"賢者 セレス";"Sage Seres";"Sage Célès";"Seres";
"賢者 アイリン";"Sage Irene";"Sage Aëline";"Irene";
"賢者 ロッソ";"Sage Rosso";"Sage Rosso";"Rosso";
"兵士長さんの忘れ物
誰にでも扱いやすそうな剣だ";"The sword left behind by the
captain, forged so well that
it could fit anyone's hand.";"L'arme oubliée du capitaine,
forgée par le patron. Élégante
et très facile à manier.";"Schwert des Hauptmanns.
Genau die richtige Waffe
für einen Amateur!";
"勇者のみが持つことを
許される退魔の剣
ハート満タンでビームが出る！";"The sword of evil's bane!
It will shoot a beam if
you have full health!";"L'épée du Héros, unique
au monde. Émet des rayons
si vous avez tous vos cœurs.";"Das Bannschwert des wahren
Helden. Strahlenattacke
bei vollen Herzen.";
"切れ味が鋭くなったマスターソード
手によくなじむ匠の逸品";"The Master Sword, made
stronger! Now it's even
fiercer in your hand!";"L'épée de légende, affutée
avec soin. Votre main épouse
agréablement sa poignée.";"Geschärftes Master-Schwert.
Noch mächtiger als die
ursprüngliche Form.";
"最強のマスターソード
切っ先から発せられる
オーラが凄まじい";"The Master Sword, made
ultimate! Now it's the
fiercest blade imaginable!";"L'épée de légende à son
apogée. Une aura redoutable
se dégage de sa lame.";"Das ultimative Master-
Schwert! Wer es in der Hand
hält, fühlt sich unbesiegbar.";
"おかみさん特製の
かじ屋の仕事着
とっても動きやすい";"Clothing made by the
blacksmith's wife. It's a
perfect fit for you!";"Habit de travail confectionné
par la femme du forgeron.
Quelle liberté de mouvement !";"Von der Frau des Schmieds
genähte Arbeitskleidung.
Äußerst robust und bequem!";
"丈夫な素材でできた厚手の服
緑の服よりも
敵から受けるダメージが少なくなる";"Sturdy mail that provides
great defense.";"Taillée dans une étoffe plus
résistante pour une meilleure
protection.";"Aus festerem Stoff als das
grüne Gewand. Sorgt für
erhöhte Abwehr.";
"霊糸が編み込まれた不思議な服
敵からのダメージを
さらに軽減してくれる";"Superb mail that provides
excellent defense.";"Tissée avec un fil aux
propriétés mystiques. Réduit
encore les dommages reçus.";"Aus Geistergarn gewoben.
Verringert von Feinden erlitte-
nen Schaden noch weiter.";
"冒険の必需品
で構えれば 飛んできた
石や矢を防ぐことができる";"A must-have for any
adventurer. Raise it with 
to block arrows and stones.";"Ne partez pas à l'aventure
sans lui ! Levez-le avec .
Bloque pierres et flèches.";"Ein Muss für jeden
Abenteurer. Wehre mit 
Steine und Pfeile ab.";
"古代の技術で作られた盾
で構えれば
炎やビームも受け止める";"A shield that's based on
Hylian design. Raise it with
 to block flames and beams.";"Le savoir-faire hylien à son
apogée. Levez-le avec .
Bloque flammes et rayons.";"Ein Meisterstück hylianischer
Handwerkskunst. Wehre mit
 Feuer und Strahlen ab.";
"ラヴィオから宿代代わりに
押し付けられた 古ぼけた腕輪
どうせなら新品がほしかった";"An old bracelet that Ravio
gave you in exchange for
staying at your house.";"Un vieux bracelet offert par
Lavio en guise de loyer. Pas
sûr qu'il vaille grand-chose...";"Ravio hat ihn dir als Dank
dafür gegeben, dass er bei dir
wohnen darf. Sieht alt aus...";
"絵になって壁に出入りできる
不思議な腕輪
ラヴィオに感謝！";"A bracelet Ravio gave you
that now gives you the
ability to merge into walls!";"Un mystérieux bracelet qui
vous permet de glisser à la
surface des murs. Merci Lavio.";"Armreif, der dir erlaubt, dich
als Wandbild fortzubewegen.
Von Ravio erhalten.";
"";"A glove that makes you feel
strong! Pick up small
boulders by pressing .";"Vous permet de soulever
des rochers avec  et de
vous sentir grand et fort.";"Erhöht die Körperkraft,
sodass du mit  kleine
Felsen aufheben kannst.";
"";"A powered-up version of the
Power Glove. Pick up large
boulders by pressing !";"La version améliorée des
gants de puissance. Soulevez
d'énormes rochers avec  !";"Dieser Handschuh macht dich
so kräftig, dass du mit  auch
große Felsen aufheben kannst.";
"でダッシュができる
走りすぎに要注意！";"Boots that let you dash
incredibly fast when you
press .";"Appuyez sur  pour courir.
Mais ne vous laissez pas
emporter par votre élan !";"Halte  gedrückt,
um wahnsinnig
schnell zu rennen!";
"見た目も美しいスベスベした石
手触り抜群！";"A beautifully polished stone.
It's smooth to the touch.";"Une superbe pierre polie
extraordinairement agréable
au toucher.";"Unglaublich glatter
Stein. Mutter aller
Handschmeichler.";
"で泳ぎ で潜ることができる
ゾーラ族からもらった水かき
これがあれば水泳名人！";"Flippers given to you by
the Zoras. Dive with ,
and swim with !";"Cadeau du peuple zora pour
barboter sans danger. Nagez
avec  et plongez avec .";"Machen dich zum Meister-
schwimmer! Tauche mit ,
schwimme mit  schneller.";
"ハチと仲良くなれるバッヂ
もう刺される心配はない！";"No more stings! This badge
makes you the friend of
every bee.";"Un insigne qui vous vaudra
l'amitié des abeilles. Finies
les piqûres !";"Hiermit wirst du zum Freund
aller Bienen.
Nie wieder Bienenstiche!";
"頑張るためのコツが記された巻物
これでもっともっと頑張れる！";"Contains the secrets of
great stamina and expands
your energy gauge.";"Ce parchemin révèle le secret
d'une endurance optimisée.
On ne vous arrêtera plus !";"Schrift, die Geheimtechniken
zur Erhöhung der Ausdauer
beschreibt.";
"4つ集めるとハートの器になって
ハートの最大値が1つ増える";"Collect four pieces of heart
to gain another heart
container.";"Trouvez-en 4 pour obtenir
un nouveau réceptacle de
cœur et gagner en vitalité.";"Sammele vier, um einen
Herzcontainer zu erhalten.";
"この世界のお金
買い物やゲームに必要";"Hyrulean currency. Needed
for buying items and playing
games.";"La monnaie d'Hyrule.
Nécessaire pour faire des
achats et jouer à des jeux.";"Die Standardwährung dieser
Welt. Man kann nie genug
davon haben.";
"マスターソードを強くできる
めずらしい鉱石
かじ屋さんに持って行こう！";"Take these to the blacksmith
so that he can strengthen
the Master Sword.";"Minerai rare nécessaire pour
renforcer l'épée de légende.
Apportez-en à la forge !";"Damit kann der Schmied
das Master-Schwert noch
stärker machen.";
"薬の素材の1つ
魔法おばばの薬屋に持って行けば
青い薬を作ってもらえる";"The witch will make you
some blue potion if
you bring her 10 of these.";"Ingrédient principal de la
potion bleue. Apportez-la
à Mamie Magie !";"Zutat für magische Tränke.
Lasse dir damit im Magieshop
ein blaues Elixier brauen.";
"薬の素材の1つ
魔法おばばの薬屋に持って行けば
黄色い薬を作ってもらえる";"The witch will make you
some yellow potion if
you bring her 10 of these.";"Ingrédient principal de la
potion jaune. Apportez-la
à Mamie Magie !";"Zutat für magische Tränke.
Lasse dir damit im Magieshop
ein gelbes Elixier brauen.";
"薬の素材の1つ
魔法おばばの薬屋に持って行けば
紫の薬を作ってもらえる";"The witch will make you
some purple potion if
you bring her 10 of these.";"Ingrédient principal de la
potion violette. Apportez-le
à Mamie Magie !";"Zutat für magische Tränke.
Lasse dir damit im Magieshop
ein lila Elixier brauen.";
"迷子のマイマイ
どこかでお母さんが
探しているに違いない";"Shelled cuties that seem to
squeak like they're lost.
But where are they from?";"Jeune gorneau égaré. Les
enfants perdus ont toujours
une maman qui s'inquiète...";"Quieken, als hätten sie sich
verlaufen. Wahrscheinlich
sucht ihre Mutter nach ihnen.";
"迷子のマイマイ
マザーマイマイの所に
連れて行ってあげよう";"Maiamai children that were
parted from their mother.
Find and return them to her.";"Jeune gorneau égaré. Sans
ses enfants, Big'ornette est
malheureuse. Rendez-les-lui !";"Sei doch so nett und bringe
die verirrten Maimais zu
Mama Maimai zurück.";
"迷子のマイマイ
手元にいる[IntNumberN]匹の迷子を
早くマザーマイマイに届けよう！";"Maiamais on hand: [IntNumberN]
Return the lost children to
their mother, OK?";"Vous avez avec vous
[IntNumberN] des ti'gorneaux de
Big'ornette. Allez la voir !";"Du hast [IntNumberN] der Kleinen von
Mama Maimai noch nicht
zurückgebracht.";
"迷子マイマイは全て届けた
無表情なマザーだが
喜んでいるようだった";"All Maiamais have been
returned to their mother. 
She was glowing with joy!";"Les ti'gorneaux sont rentrés !
L'impassibilité de leur mère
cache une joie sans bornes.";"Alle Maimais sind wieder
bei der Mama. Sie war vor
Freude den Tränen nah.";
"ゼルダ姫にもらったおまもり
実は勇気の紋章だった";"A pendant you got from
Princess Zelda, needed for
claiming the Master Sword.";"L'amulette remise par la
princesse Zelda. C'est en
fait le pendentif du courage.";"Prinzessin Zeldas Talisman.
Ist in Wahrheit das Amulett
des Mutes.";
"マスターソードを手にするために
必要な紋章
ヘラの塔で手に入れた";"A pendant you found at the
Tower of Hera, needed for
claiming the Master Sword.";"Un bijou précieux reçu à la
tour d'Héra, nécessaire pour
obtenir l'épée de légende.";"Wird benötigt, um das
Master-Schwert zu erhalten.
In Heras Turm gefunden.";
"ゼルダ姫にもらった
大切なおまもり";"A special gift that you
received from Princess
Zelda.";"Une amulette précieuse
qui vous a été remise par
la princesse Zelda.";"Kostbarer Talisman, den
dir Prinzessin Zelda
gegeben hat.";
"マスターソードを手にするために
必要な紋章
風の館で手に入れた";"A pendant you found at the
House of Gales, needed for
claiming the Master Sword.";"Un bijou d'une extrême
importance, nécessaire pour
obtenir l'épée de légende.";"Wird benötigt, um das Master-
Schwert zu erhalten. Im Haus
des Windes gefunden.";
"インパの姿が描かれている
上品に年を重ねてきた
様子が伝わってくる";"The portrait of Lady Impa.
It is clear to see the years
have been kind to her.";"Impa. Les années glissent
sur elle sans altérer l'aura
de grâce qui la caractérise.";"Gemälde von Impa. Sie ist
ein Musterbeispiel dafür,
wie man würdevoll altert.";
"ゾーラ族の女王オーレン
さすがに絵の中では
スベスベ石は不要のようだ";"The portrait of Queen Oren.
Her beauty shines through,
even as a painting.";"Orlène, reine zora. Elle n'a
vraiment pas besoin de la
pierre toute douce.";"Oreen, Zora-Königin. Jetzt
scheint sie ohne Schmei-
chelstein auszukommen.";
"親方の息子グリ
無邪気な笑顔は変わらない";"The portrait of Gulley.
His smile is as bright as 
it ever was.";"Guly, le fils de votre
patron. Son sourire innocent
est parfaitement rendu.";"Gri, der Sohn deines
Meisters. Lächelt wie
immer arglos vor sich hin.";
"アスファル
目に宿る光が自信家で
あることを伺わせる";"The portrait of Osfala.
The light in his eyes shows
confidence and assurance.";"Asphar. L'éclat de ses yeux
trahit un amour-propre
exacerbé.";"Osfala. Das Licht in seinen
Augen zeugt von seinem
festen Glauben.";
"神父の娘セレス
微笑みが無限の
愛を感じさせる";"The portrait of Seres.
Her smile projects boundless
love for all living beings.";"Célès, la fille du prêtre.
Son sourire exprime une
tendresse indescriptible.";"Seres, die Tochter des
Priesters. In ihrem Lächeln
liegt reine Liebe.";
"魔法おばばの孫アイリン
大好きなおばあちゃんに
会えなくて 少しさみしそうだ";"The portrait of Irene.
For all her brashness, she
really misses her grandma.";"Aëline, la petite-fille de la
sorcière. Elle a l'air triste
sans sa mamie.";"Irene, Enkelin der Hexe.
Sie sieht etwas angesäuert
über ihren Zustand aus.";
"鉱石屋のロッソ
分厚い胸板 太い腕
豪快さもそのままだ";"The portrait of Rosso.
His broad chest and beefy
arms are well-captured.";"Rosso, fournisseur de la
forge. On reconnaît bien
ses muscles colossaux.";"Rosso, der Erzhändler. Das
Gemälde fängt seine impo-
sante Erscheinung gut ein.";
"リンク";"Link";"Link";"Link";
"裏からでは読めない……";"You can't read it from this side.";"Vous ne pouvez pas lire d'ici...";"Von dieser Seite kannst
du es nicht lesen...";
"暗くって読めない……";"It's too dark to read.";"Vous ne pouvez pas lire
dans la pénombre.";"Es ist zu dunkel, um es zu lesen...";
"やられちゃったから
貸してた道具は返してもらうよ";"Sorry, buddy. I'll be taking back
what's mine now.";"Ton compte est bon, on dirait !
Je vais récupérer toutes nos
affaires, t'en auras plus besoin !";"Wenn du da so rumliegst, kann ich die
Ausrüstung wohl wieder einsammeln.";
"前回のセーブ以降にプレイした情報が
失われますが、よろしいですか？";"All progress since your last save will
be lost. Are you sure?";"Toute votre progression depuis votre
dernière sauvegarde sera perdue.
Voulez-vous continuer ?";"Der Fortschritt seit dem letzten
Speichern geht verloren. Fortfahren?";
"はい";"OK";"Oui.";"OK";
"いいえ";"Cancel";"Non.";"Zurück";
"セーブしますか？[ChoiceN]";"Save your progress?[ChoiceN]";"Voulez-vous sauvegarder votre
progression ?[ChoiceN]";"Möchtest du das Spiel speichern?[ChoiceN]";
"はい";"Save";"Oui.";"OK";
"いいえ";"Don't save";"Non.";"Abbrechen";
"つづけて遊ぶ？[ChoiceN]";"Continue adventuring?[ChoiceN]";"Voulez-vous poursuivre l'aventure ?[ChoiceN]";"Möchtest du das Spiel fortsetzen?[ChoiceN]";
"つづける";"Continue";"Oui.";"Fortsetzen";
"やめる";"Quit";"Quitter.";"Beenden";
"[Flush]セーブ中です
電源を切らないでください";"[Flush]Saving. Please do not turn off the
power.";"[Flush]Sauvegarde en cours.
N'éteignez pas la console.";"[Flush]Speichervorgang...
Schalte das System nicht aus.";
"セーブしました";"Saving complete.";"Sauvegarde terminée.";"Speichern abgeschlossen.";
"STARTボタンメニューから
ゲームをやめることができます";"You can end your game from the
Pause menu, opened by pressing
START.";"Pour quitter la partie, ouvrez le
menu de pause avec START.";"Du kannst im Pausemenü
das Spiel beenden.";
"そろそろ休憩しませんか？";"You've been playing for a while.
Why not take a break?";"Que diriez-vous de faire une pause ?";"Wie wäre es mit einer Pause?";
"新しい風見鶏を地図に記録しました";"A new weather vane has been added
to the map.";"Une nouvelle girouette vient
d'être ajoutée sur la carte.";"Ein neuer Wetterhahn wurde
auf der Karte eingetragen.";
"ハチをつかまえた！";"You caught a bee!";"Vous avez attrapé une abeille !";"Du hast eine Biene gefangen!";
"何と、金ピカにかがやく
黄金のハチだ！";"You caught a golden bee! It's so
bright and buzzy!";"Ça alors !!! Une abeille d'or
étincelante !";"Oh, eine glänzende goldene Biene!";
"妖精だ！
一緒にいると心強い！";"You caught a fairy! It should come
in really handy!";"Une fée ! Sa présence à vos côtés
a quelque chose de rassurant.";"Eine Fee!
Mit ihr an der Seite brauchst du
keine Angst mehr zu haben!";
"ハートだ！
これで元気を回復だ！";"You got a heart! That could help you
out in a pinch!";"Un cœur ! Voilà qui fait plaisir !";"Ein Herz!
Das macht dich gesund!";
"リンゴだ！
甘酸っぱい、いい香り";"You got an apple! It looks so juicy!";"Une pomme ! Quel délicieux
parfum sucré...";"Ein Apfel!
Er duftet süß!";
"青リンゴだ！
ひと味違う感じがする";"You got a green apple! It looks so
very tasty!";"Une pomme verte ! 
Ça change !";"Ein grüner Apfel!
Er sieht zum Anbeißen aus!";
"だけど、空いてるビンがない……
逃がしてあげよう";"But you don't have an empty
bottle to put it in. Better let it go.";"Dommage que vous n'ayez pas de
flacon vide... Mieux vaut la laisser
partir.";"Aber du hast keine leere Flasche...
Du musst sie wohl fliegen lassen.";
"どうしよう？[ChoiceN]";"What do you want to do?[ChoiceN]";"Voulez-vous l'emporter ?[ChoiceN]";"Was möchtest du tun?[ChoiceN]";
"ビンに入れとく";"Put it in a bottle";"Oui.";"In eine Flasche";
"逃がしてあげる";"Let it go";"Non.";"Fliegen lassen";
"だけど、空いてるビンがない……
あきらめるしかない";"But you don't have an empty
bottle to put it in...";"Vous n'avez pas de flacon vide...
Impossible de l'emporter !";"Aber du hast keine leere Flasche...
Das wird wohl nichts.";
"どうしよう？[ChoiceN]";"What will you do? [ChoiceN]";"Voulez-vous l'emporter ?[ChoiceN]";"Was möchtest du tun?[ChoiceN]";
"ビンに入れとく";"Put it in a bottle";"Oui.";"In eine Flasche";
"入れないでおく";"Drop it";"Non.";"Nichts";
"足をくじいて、動けなくなってから
どれだけの時間がたっただろう
なぜこんな奥地まで来てしまったのか
ヘラの塔でやめていれば……
もう私はダメかもしれない……
でも、最後に……最後に一口だけ……
ミルクバーの
プレミアムミルクを飲みたかったなぁ……";"I was up on the mountain doing some
bouldering...when I lost my grip.
And fell. And sort of hurt myself.
Eh, all in the day of a boulderer.
Going climbing without equipment
isn't for the faint of heart!
Anyway, I'm stuck on the mountain
way past the Tower of Hera, and I
could really go for some premium milk!
Yeah, that'd really get me up and
going again. So if you're at the
Milk Bar, pick some up for me!";"Je ne peux plus bouger à cause de
ma cheville foulée... Depuis combien
de temps suis-je coincé ici ?
Qu'est-ce qui m'a pris de venir dans
ce coin perdu ? Si seulement j'avais
fait demi-tour à la tour d'Héra...
C'en est sûrement fini de moi...
J'aimerais juste... juste une dernière
fois...
... pouvoir goûter au lait grand cru du
bar laitier...";"Mein Fuß ist verstaucht, meine Moral
am Boden. Ich weiß nicht einmal mehr,
wie lange ich schon hier feststecke.
Hätte ich doch nur an Heras Turm
kehrtgemacht und wäre nicht noch
weiter vorgedrungen.
Ist das mein Ende? Ich wünschte, ich
könnte noch einmal Vollmilch trinken,
und wenn es nur ein Schluck ist.
Doch die Milchbar ist so fern von
hier...";
"残り1本の貴重なプレミアムミルクだ
飲まずにちゃんと届けよう！";"Don't drink this last bottle of precious
premium milk. Deliver it!";"C'est le dernier flacon de lait
grand cru ! Ne le buvez pas,
il n'est pas pour vous !";"Die letzte Flasche der wertvollen
Vollmilch. Du solltest sie nicht
trinken, sondern sie überbringen.";
"ゼルダの伝説 神々のトライフォース2";"Zelda: A Link Between Worlds";"Zelda: A Link Between Worlds";"Zelda: A Link Between Worlds";
"誰かがやって来ました！";"Someone is here!";"Vous avez de la visite !";"Da ist jemand gekommen!";
"セーブファイルを準備中です
しばらくお待ちください……";"Preparing save file. Please wait...";"Préparation du fichier de sauvegarde.
Veuillez patienter.";"Speicherdaten werden erstellt.
Bitte warte einen Moment...";
"セーブファイルを作成しました";"The save file has been created.";"Création du fichier de sauvegarde
terminée.";"Speicherdaten wurden erstellt.";
"セーブファイルを全て削除します
よろしいですか？[ChoiceN]";"This will delete all save files. Do you
want to proceed?[ChoiceN]";"Vous vous apprêtez à effacer tous les
fichiers de sauvegarde. Voulez-vous
continuer ?[ChoiceN]";"Alle Speicherdaten werden gelöscht.
Möchtest du fortfahren?[ChoiceN]";
"削除する";"Delete";"Oui.";"Löschen";
"キャンセル";"Cancel";"Non.";"Abbrechen";
"削除したデータは元に戻せません
本当によろしいですか？[ChoiceN]";"Deleted data cannot be restored.
Are you sure you want to proceed?[ChoiceN]";"Les données effacées ne peuvent
pas être récupérées. Confirmer
l'effacement ?[ChoiceN]";"Gelöschte Daten lassen sich nicht
wiederherstellen. Bist du ganz
sicher, dass du fortfahren möchtest?[ChoiceN]";
"キャンセル";"Cancel";"Non.";"Abbrechen";
"[ChoicePositive]削除する";"[ChoicePositive]Delete";"[ChoicePositive]Oui.";"[ChoicePositive]Löschen";
"削除しています……";"Deleting data...";"Effacement en cours...";"Daten werden gelöscht...";
"削除しました";"Data has been deleted.";"Les données ont été effacées.";"Daten gelöscht.";
"中は空だった";"It's empty.";"Il n'y a rien à l'intérieur.";"Sie ist leer.";
"「小さな鍵」を手に入れた！
鍵のかかった扉を開くことができる！";"You got a small key! 
It will open a locked door!";"Vous avez obtenu une petite clé !
Elle ouvre une porte verrouillée.";"Du hast einen Kleinen Schlüssel
erhalten. Damit kannst du eine
verschlossene Tür öffnen!";
"「大きな扉の鍵」を手に入れた！
大きな扉を開くことができる！";"You got the Big Key! Now you can
open the dungeon's huge door!";"Vous avez obtenu la grande clé !
Vous pouvez à présent pénétrer
dans le repaire du boss.";"Du hast den Großen Schlüssel
erhalten. Damit kannst du
die große Tür öffnen!";
"「コンパス」を手に入れた！
宝箱と鍵のかかった扉の位置が分かる！";"You got the compass! Now you
can see the locations of the
treasure chests and locked doors!";"Vous avez obtenu la boussole !
Elle indique l'emplacement des
trésors et des portes verrouillées.";"Du hast den Kompass erhalten.
Jetzt sind auf der Karte Schätze
und verschlossene Türen sichtbar.";
"「ハートの器」を手に入れた
ハートの最大値が1つ増える！
おまけに体力全回復！";"You got a heart container! Your
maximum hearts increase by one,
and your hearts are replenished!";"Vous avez obtenu un réceptacle
de cœur ! Votre énergie vitale est
restaurée et augmente d'un cœur !";"Ein Herzcontainer! Du erhältst ein
weiteres Herz und deine Lebens-
energie wird komplett aufgefüllt!";
"20ルピーを手に入れた！
おサイフにうるおいをプラス！";"You got a Red Rupee!
It's worth 20 Rupees. Don't
spend it all in one place!";"Vous avez obtenu 20 rubis !
Offrez-vous donc un petit
quelque chose !";"Du hast 20 Rubine erhalten!
Gib nicht alles auf einmal aus!";
"5ルピーを手に入れた！
うれしい？ビミョー？";"You got a Blue Rupee!
It's worth 5 Rupees.
What a find!";"Vous avez obtenu 5 rubis !
Ça fait toujours plaisir !";"Du hast 5 Rubine erhalten!
Deine Freude hält sich in Grenzen!";
"1ルピーを手に入れた！
コツコツ集めよう！";"You got a Green Rupee!
It's worth just 1 Rupee, so
collect lots of them!";"Vous avez obtenu 1 rubis !
Ne vous en tenez pas là !";"Du hast einen Rubin erhalten!
Kleinvieh macht auch Mist!";
"300ルピーを手に入れた！
この世界で最高額のルピー！";"You got a Gold Rupee!
It's worth 300 Rupees!
Unbelievable!";"Vous avez obtenu 300 rubis !
Du jamais vu !!!";"Du hast 300 Rubine erhalten!
Schon mal über Kapitalanlagen
nachgedacht?";
"100ルピーを手に入れた！
気分はセレブリティ！";"You got a Silver Rupee!
It's worth 100 Rupees!
Lucky you!";"Vous avez obtenu 100 rubis !
Ça fait plaisir, n'est-ce pas ?";"Du hast 100 Rubine erhalten!
Du fühlst dich reich und schön!";
"50ルピーを手に入れた！
思わずホッペがゆるんじゃう♪";"You got a Purple Rupee!
It's worth 50 Rupees!
Now how about that?!";"Vous avez obtenu 50 rubis !
Ça ne se trouve pas tous
les jours !";"Du hast 50 Rubine erhalten!
Deine Augen beginnen zu funkeln!";
"ハートのかけらを手に入れた！
これで4つ集まった！！
ハートの最大値が1つ増える！";"You got a piece of heart!
You've earned a heart container!";"Vous avez obtenu un
fragment de cœur !

Vous en avez rassemblé quatre.
Votre énergie vitale augmente
d'un cœur !";"Du hast ein Herzteil erhalten!
Damit hast du nun 4 Stück und die
Zahl deiner Herzen steigt um eins!";
"ハートのかけらを手に入れた！
あと3つ集めるとハートの器になる！";"You got a piece of heart! Collect
three more to get a heart
container.";"Vous avez obtenu un
fragment de cœur !

Trouvez-en encore trois pour
former un réceptacle de cœur !";"Du hast ein Herzteil erhalten!
Finde 3 weitere, um einen
Herzcontainer zu bekommen!";
"ハートのかけらを手に入れた！
あと2つ集めるとハートの器になる！";"You got a piece of heart! Collect
two more to get a heart container.";"Vous avez obtenu un
fragment de cœur !

Trouvez-en encore deux pour
former un réceptacle de cœur !";"Du hast ein Herzteil erhalten!
Finde 2 weitere, um einen
Herzcontainer zu bekommen!";
"ハートのかけらを手に入れた！
あと1つ集めるとハートの器になる！";"You got a piece of heart! Collect
one more to get a heart container.";"Vous avez obtenu un
fragment de cœur !

Trouvez-en encore un pour
former un réceptacle de cœur !";"Du hast ein Herzteil erhalten!
Finde ein weiteres, um einen
Herzcontainer zu bekommen!";
"アイスロッドを買い取った";"You bought the Ice Rod!";"Vous avez acheté la
baguette de glace.";"Du hast den Eisstab erworben.";
"サンドロッドを買い取った";"You bought the Sand Rod!";"Vous avez acheté la
baguette des sables.";"Du hast den Sandstab erworben.";
"トルネードロッドを買い取った";"You bought the Tornado Rod!";"Vous avez acheté la
baguette des tornades.";"Du hast den Tornadostab
erworben.";
"バクダンを買い取った";"You bought bombs!";"Vous avez acheté les bombes.";"Du hast die Bomben erworben.";
"ファイアロッドを買い取った";"You bought the Fire Rod!";"Vous avez acheté
la baguette de feu.";"Du hast den Feuerstab erworben.";
"フックショットを買い取った";"You bought the Hookshot!";"Vous avez acheté le grappin.";"Du hast den Enterhaken erworben.";
"ブーメランを買い取った";"You bought the boomerang!";"Vous avez acheté le boomerang.";"Du hast den Bumerang erworben.";
"ハンマーを買い取った";"You bought the hammer!";"Vous avez acheté le marteau.";"Du hast den Hammer erworben.";
"弓矢を買い取った";"You bought the bow!";"Vous avez acheté l'arc.";"Du hast den Bogen erworben.";
"盾を手に入れた！
で構えることができる";"You got the shield! Press and
hold  to raise it.";"Vous avez obtenu un bouclier.
Brandissez-le avec .";"Du hast einen Schild erhalten!
Halte ihn mit  vor dich.";
"ビンを手に入れた！
色んな物を入れることができる";"You got a bottle! You can put all
sorts of things in it!";"Vous avez obtenu un flacon !
Vous pouvez y conserver
toute sorte de choses.";"Du hast eine Flasche erhalten!
Darin kannst du verschiedene
Dinge aufbewahren.";
