Japanese;English;French;
"おしこむ";"Align";"Enfoncer";
"ひきしぼる";"Draw bow";"Bander l'arc";
"こぐ";"Swing";"Se balancer";
"バランス";"Balance";"Garder l'équilibre";
"ゆらす";"Jostle";"Secouer";
"やすむ";"Sleep";"Dormir";
"おとす";"Drop";"Lâcher";
"とばす";"Launch";"Lancer";
"よむ";"Read";"Lire";
"ふる";"Whip";"Coup de fouet";
"ひっぱる";"Pull";"Tirer";
"のむ";"Drink";"Boire";
"のる";"Get in";"Monter";
"うてぇ！";"Fire";"Feu !";
"アタック";"Attack";"Attaquer";
"とどめ";"Fatal blow";"Coup de grâce";
"とびおりる";"Jump down";"Descendre";
"かなでる";"Strum";"Jouer";
"はなす";"Release";"Lâcher";
"つかむ";"Grab";"Saisir";
"かまえる";"Ready stance";"Se préparer";
"ぬく";"Remove";"Retirer";
"かまえる";"Ready sword";"Se préparer";
"さす";"Thrust sword";"Planter";
"つかう";"Use";"Utiliser";
"すくう";"Scoop";"Prélever";
"みまわす";"Look";"Vue subjective";
"ダウジング";"Dowse";"Détection";
"せんかい";"Pilot";"Diriger";
"みおろす";"Look down";"Vue aérienne";
"ダイビング";"Dive";"Chute libre";
"えらぶ";"Select";"Sélectionner";
"つかむ";"Grab";"Saisir";
"うごかす";"Move";"Déplacer";
"加速する";"Accelerate";"Accélérer";
"アタック";"Charge";"Attaque";
"かたむける";"Lean";"Incliner";
"けってい";"Press";"Enfoncer";
"注目";"Lock on";"Cibler";
"ダッシュ";"Dash";"Foncer";
"盾をかまえる";"Raise shield";"Lever le
bouclier";
"盾ではじく";"Shield bash";"Charge
bouclier";
"ころがる";"Roll";"Roulade";
"ステップ";"Dodge";"Pas chassé";
"地上をみる";"View surface";"Vue de surface";
"しまう";"Put away";"Ranger";
"中央に";"Center";"Recentrer";
"もどる";"Back";"Retour";
"全体";"World map";"Monde";
"広く";"Zoom out";"Zoom -";
"詳しく";"Zoom in";"Zoom +";
"スクロール";"Scroll";"Faire défiler";
"現在地";"Current location";"Position actuelle";
"もどる";"Back";"Retour";
"のろし";"Add beacon";"Baliser";
"消す";"Remove beacon";"Effacer";
"地図の向き";"Rotate map";"Changer l'orientation";
"地図の向き";"Rotate map";"Changer l'orientation";
"おりる";"Get off";"Descendre";
"しまう";"Store";"Ranger";
"もどす";"Return";"Rappeler";
"移動する";"Move";"Se déplacer";
"カギ穴をみる";"View lock";"Voir la serrure";
"回転をもどす";"Reset position";"Réinitialiser";
"やめる";"Cancel";"Annuler";
"とめる";"Stop";"Stabiliser";
"アイテム";"Items";"Arsenal";
"スピン";"Spin";"Tourbillon";
"決定";"Done";"Valider";
"配置をもどす";"Reset panels";"Réinitialiser";
"やめる";"Back";"Annuler";
"減速する";"Slow down";"Ralentir";
"決定";"Display";"OK";
"えらぶ";"Select floor";"Sélectionner";
"島の名前を表示";"Show island name";"Afficher le nom des îles";
"島の名前を消す";"Hide island name";"Cacher le nom des îles";
"かまえる";"Ready cannon";"Armer le canon";
"やめる";"Stow cannon";"Désarmer";
"パラショール";"Sailcloth";"Parachâle";
"もどる";"Return";"Retour";
"ゼルダの伝説 スカイウォードソード";"Zelda: Skyward Sword";"Zelda: Skyward Sword";
"大いなる宿命を背負うゼルダとリンクの物語";"A story of Link and Zelda.";"L'épique destin de Link et Zelda";
"Wiiリモコンに
ヌンチャクを接続してください。
接続したら コントロールスティックを
さわらずに お待ちください。";"Connect the Nunchuk to the Wii Remote.
Once you have connected the Nunchuk,
wait a few moments without touching
the Control Stick.";"Connectez le Nunchuk à la
télécommande Wii, puis patientez
un instant sans toucher le Stick
directionnel du Nunchuk.";
"Wiiリモコンに Wiiモーションプラスと
ヌンチャクを接続してください。
接続したら コントロールスティックを
さわらずに お待ちください。";"Connect the Wii MotionPlus
accessory and Nunchuk to
the Wii Remote. Next, wait
a few moments without
touching the Control Stick.";"Connectez la télécommande Wii
et le Nunchuk à l'accessoire Wii
MotionPlus, puis patientez un
instant sans toucher le Stick
directionnel du Nunchuk.";
"Wiiリモコンの電池が
残り少なくなりました。

HOMEボタンメニューで
確認してください。";"The Wii Remote battery charge
is running low. Please check the
HOME Menu.";"Les piles de la télécommande Wii
sont presque vides.

Veuillez consulter le menu HOME.";
"Wiiリモコンの通信が切れました。
Wiiリモコンをつなぎ直します。

コントロールスティックを
さわらずに [Button 0]を 押してください。";"Communications with the Wii Remote
have been interrupted. Reconnect the
Wii Remote. Press [Button 0] without touching
the Control Stick. ";"La connexion avec la télécommande Wii
a été interrompue. Veuillez reconnecter
la télécommande Wii.
Appuyez sur [Button 0] sans toucher au Stick
directionnel.";
"Wiiモーションプラスの
動作チェックをしています。
Wiiリモコンを平らなところに
置いてください。";"Now calibrating the Wii MotionPlus
accessory. Place the Wii Remote on
a flat surface.";"Calibrage du Wii MotionPlus.
Posez la télécommande Wii
sur une surface plane.";
"Wiiリモコンを 画面に向け
[Button 24]を 枠の中に入れてください。";"Point the Wii Remote at the screen, and
move [Button 24] to the center.";"Pointez la télécommande Wii
vers l'écran et positionnez
[Button 24] à l'intérieur du cadre.";
"[Button 0]を 押してください。";"Press [Button 0].";"Appuyez sur [Button 0].";
"Wiiモーションプラスの動作チェックが
正しく終了しませんでした。

もう一度 動作チェックをしますか？
   • チェックする   • しない";"Could not successfully complete
the calibration check.

Run the check again?

   • Check   • Don't check";"Échec du test de calibrage.

Voulez‐vous réessayer ?

   • Oui   • Non";
"このままゲームをつづけると
正しく操作できない可能性があります。

Wiiモーションプラスの動作チェックを
しないで ゲームをつづけますか？
   • つづける   • チェックし直す";"If you proceed without finishing
calibration, game controls may not
work properly. Continue without
finishing calibration?
   • Continue   • Retry check";"Si vous continuez sans procéder
au calibrage, les commandes
risquent de ne pas fonctionner
correctement. Continuer ?
   • Continuer   • Réessayer";
"Wiiモーションプラスの
つけかたムービーを見ますか？
   • 見る   • 見ない";"Would you like to view the Wii MotionPlus
instructional video?
   • Yes   • No";"Voulez‐vous regarder une vidéo
d'explication sur le Wii MotionPlus ?
   • Oui   • Non";
"Wii本体保存メモリの空き容量が
不足しています。
Wiiメニューのデータ管理画面で
データをSDカードに移動するか、消去して
1ブロックの空きブロックを用意してください。";"There is not enough available space
in the Wii System Memory. Create 1 block
of free space either by moving data to an
SD Card or deleting data in the Wii
console's Data Management screen.";"Il n'y a pas assez d'espace libre dans la
mémoire de la console Wii. Libérez 1 bloc
en transférant des données vers une carte
SD ou en les effaçant depuis l'écran de
gestion des données de la console Wii.";
"Wii本体保存メモリの空きファイル数が
不足しています。
Wiiメニューのデータ管理画面で
データをSDカードに移動するか、
消去してください。";"There is not enough available space in
the Wii System Memory. Either move data
to an SD Card or delete data in the Wii
console's Data Management screen.";"Il n'y a pas assez d'espace libre dans la
mémoire de la console Wii. Transférez des
données sur une carte SD ou effacez des
données inutiles depuis l'écran de gestion
des données de la console Wii.";
"Wiiメニューのデータ管理画面で
データを整理しますか？
   • 整理する   • しない";"Do you want to go to the Wii
console's Data Management
screen to edit data?
   • Yes   • No";"Voulez‐vous accéder à l'écran
de gestion des données de
la console Wii ?
   • Oui   • Non";
"セーブデータが
壊れているため使用できません。

これまでに遊んだ記録は失われますが
セーブデータを作り直しますか？
   • 作り直す   • いいえ";"The file cannot be used because
the data is corrupted.

All data saved up to this point will
be lost. Create new save data?
   • Yes   • No";"Le fichier est corrompu et ne peut
pas être utilisé.

Toutes les données de sauvegarde
précédentes seront perdues. Créer
de nouvelles données ?
   • Oui   • Non";
"Wii本体保存メモリが壊れました。
くわしくはWii本体の取扱説明書を
お読みください。";"The Wii System Memory has been
damaged. Refer to the Wii Operations
Manual for details.
";"La mémoire de la console Wii
est endommagée. Veuillez vous
référer au mode d'emploi Wii
pour plus de détails.";
"Wii本体保存メモリの
書き込み/読み出しができませんでした。
くわしくはWii本体の取扱説明書を
お読みください。";"Could not access the Wii System Memory.
Refer to the Wii Operations Manual for
details.";"Impossible d'accéder à la mémoire
de la console Wii. Veuillez vous
référer au mode d'emploi Wii
pour plus de détails.";
"Wii本体保存メモリの
書き込み/読み出し中に
エラーが発生しました。
くわしくはWii本体の取扱説明書を
お読みください。";"An error occurred while accessing
the Wii System Memory. Refer to the
Wii Operations Manual for details.";"Une erreur est survenue lors
de l'accès à la mémoire de la
console Wii. Veuillez vous
référer au mode d'emploi Wii
pour plus de détails.";
"セーブデータを作っています。
電源を切らないでください。";"Creating save data. Please do not
touch the POWER Button or RESET.";"Création des données de sauvegarde.
Ne touchez pas au bouton POWER
ni au bouton RESET.";
"ゼルダの伝説 スカイウォードソード の
セーブデータを作りました。";"Save data for The Legend of Zelda:
Skyward Sword has been created.";"Les données de sauvegarde de
The Legend of Zelda: Skyward Sword
ont été créées.";
"セーブデータの作成に失敗しました。
セーブデータを作り直しますか？
   • 作り直す   • いいえ";"Save data could not be created.
Try again?
   • Yes   • No";"Échec de la création des données
de sauvegarde. Réessayer ?
   • Oui   • Non";
"セーブデータが壊れているので
セーブデータを修復します。";"The save data is corrupted.
Save data will be restored.";"Les données de sauvegarde sont
corrompues et vont être restaurées.";
"セーブデータを修復しています。
電源を切らないでください。";"Restoring save data. Please do not
touch the POWER Button or RESET.";"Restauration des données de
sauvegarde. Ne touchez pas au
bouton POWER ni au bouton RESET.";
"セーブデータを修復しました。";"Save data is restored.";"Les données de sauvegarde
ont été restaurées.";
"セーブデータを作り直しています。
電源を切らないでください。";"Creating save data again. Please do not
touch the POWER Button or RESET.";"Création de nouvelles données de
sauvegarde. Ne touchez pas au
bouton POWER ni au bouton RESET.";
"セーブデータを作り直しました。";"New save data has been created.";"De nouvelles données de
sauvegarde ont été créées.";
"セーブしています。
電源を切らないでください。";"Saving in progress. Please do not
touch the POWER Button or RESET.";"Sauvegarde en cours.
Ne touchez pas au bouton
POWER ni au bouton RESET.";
"セーブしました。";"Saved.";"Données sauvegardées.";
"[Var]
   • セーブする   • セーブしてやめる   • もどる";"[Var]
   • Save   • Save and quit   • Cancel";"[Var]
   • Sauvegarder   • Sauvegarder
et quitter   • Annuler";
"本当に 冒険をやめますか？
   • やめる   • つづける";"Are you sure you want to quit?
   • Yes   • No";"Voulez‐vous vraiment
quitter la partie ?
   • Oui   • Non";
"[Var]
   • セーブする   • セーブしてやめる   • 空に帰る   • もどる";"[Var]
   • Save   • Save and quit   • To the sky   • Cancel";"[Var]
   • Sauvegarder   • Sauvegarder
et quitter   • Retourner
dans le ciel   • Annuler";
"空に帰りますか？
   • 大空へ   • ここにいる";"Do you want to return to the sky?
   • Yes   • No";"Voulez‐vous retourner dans le ciel ?
   • Oui   • Non";
"[Var]
   • セーブする   • セーブしてやめる   • 外に出る   • もどる";"[Var]
   • Save   • Save and quit   • Go outside   • Cancel";"[Var]
   • Sauvegarder   • Sauvegarder
et quitter   • Sortir   • Annuler";
"外に出ますか？
   • 出る   • ここにいる";"Leave the area?
   • Leave   • Stay";"Voulez‐vous sortir de ce donjon ?
   • Oui   • Non";
"ここまでをセーブしますか？
   • セーブする   • セーブしてやめる   • しない";"Do you want to save your progress?
   • Save   • Save and quit   • Cancel";"Voulez‐vous sauvegarder
votre progression ?
   • Sauvegarder   • Sauvegarder
et quitter   • Annuler";
"セーブできませんが
ゲームをはじめますか？
   • はじめる   • やめる";"You will not be able to save. Do you
want to begin your game anyway?
   • Begin   • Quit";"Vous ne pourrez pas sauvegarder votre
progression.
Voulez‐vous tout de même commencer ?
   • Commencer   • Quitter";
"セーブできません。
冒険をつづけますか？
   • つづける   • やめる";"It is not possible to save. Continue
your adventure anyway?
   • Continue   • Quit";"Sauvegarde impossible.
Voulez‐vous tout de même continuer ?
   • Continuer   • Quitter";
"辛口モードクリア おめでとう！
最後の戦いの直前で セーブしますか？
   • セーブする   • しない";"You have conquered Hero Mode!
Congratulations! Do you want to create
a save just before the final battle?
   • Save   • Don't save";"Félicitations ! Vous avez terminé
le jeu en mode héroïque. Voulez‐vous
sauvegarder votre progression ?
   • Oui   • Non";
"タイトルへもどりますか？
   • タイトルへ   • もどらない";"Are you sure you want to return to the
title screen without saving?
   • Don't save   • Save";"Voulez‐vous vraiment retourner
à l'écran titre ?
   • Oui   • Non";
"この旅のしおりを使って 辛口モードで
もう一度 はじめから遊びますか？
   • 遊ぶ   • 遊ばない";"You can play again in Hero Mode using
this save data. Do you want to
continue?
   • Yes   • No";"Voulez‐vous utiliser ce carnet pour
commencer à jouer en mode héroïque ?
   • Oui   • Non";
"これまでの記録は 消えてしまいますが
本当に 辛口モードで遊びますか？
   • おうよ！   • やっぱりやめる";"Your progress up to this point will be
deleted. Are you sure you want to play
Hero Mode?
   • Bring it on   • No, thanks";"Les données sauvegardées seront
effacées. Souhaitez‐vous vraiment
commencer le mode héroïque ?
   • Oui !   • Non";
"コピーしています。
電源を切らないでください。";"Copying... Please do not touch the
POWER Button or RESET.";"Copie en cours...
Ne touchez pas au bouton
POWER ni au bouton RESET.";
"コピーしました。";"Copying complete.";"Données copiées.";
"上書きすると 元にもどせませんが
このしおりに コピーしますか？
   • コピーする   • しない";"Once overwritten, previous data
cannot be restored. Do you want
to copy to this quest log?
   • Copy   • Don't copy";"Les données écrasées ne pourront pas
être récupérées. Voulez‐vous copier vos
nouvelles données sur ce fichier ?
   • Oui   • Non";
"削除しています。
電源を切らないでください。";"Deleting... Please do not touch the
POWER Button or RESET.";"Effacement en cours...
Ne touchez pas au bouton
POWER ni au bouton RESET.";
"削除しました。";"Deleting complete.";"Données effacées.";
"削除すると 元にもどせませんが
このしおりを 削除しますか？
   • 削除する   • しない";"Once deleted, previous data cannot be
restored. Do you want to delete this
quest log?
   • Delete   • Don't delete";"Les données effacées ne pourront
pas être récupérées.
Voulez‐vous effacer ce fichier ?
   • Oui   • Non";
"冒険をつづけますか？
   • つづける   • やめる";"Do you want to continue adventuring?
   • Continue   • Quit";"Voulez‐vous continuer la partie ?
   • Continuer   • Quitter";
"冒険をつづけますか？
   • つづける   • やめる";"Do you want to continue adventuring?
   • Continue   • Quit";"Voulez‐vous continuer la partie ?
   • Continuer   • Quitter";
"本当に 冒険をやめますか？
   • やめる   • やめない";"Are you sure you want to quit?
   • Quit   • Cancel";"Voulez‐vous vraiment quitter la partie ?
   • Oui   • Non";
"リンク";"Link";"Link";
"旅のしおり";"Quest Logs";"Carnets";
"名前入力";"Your Name";"Choix du nom";
"どのしおりで あそびますか？";"Select a file.";"Choisissez un carnet de voyage.";
"どのしおりに コピーしますか？";"Which quest log will you copy to?";"Copier vers quel carnet ?";
"主人公の名前を決めてください";"Enter your character's name.";"Choisissez le nom du héros.";
"このしおりから はじめますか？";"Do you want to start this quest?";"Commencer à jouer ?";
"このしおりを 消しますか？";"Really delete this?";"Voulez‐vous effacer ce carnet ?";
"女神像で待っている ゼルダに会いに行く";"Go meet Zelda, who is waiting by the Statue of the
Goddess.";"Allez rejoindre Zelda à la statue de la Déesse.";
"いなくなってしまった 紅いロフトバードを捜す";"Search for your missing Loftwing.";"Cherchez votre célestrier vermeil qui a disparu.";
"地図をたよりに 滝の辺りで紅いロフトバードを捜す";"Use the map to search near the waterfall
for your bird.";"Utilisez la carte pour localiser votre célestrier
vermeil.";
"鳥乗りの儀で 優勝をめざす";"Triumph in the Wing Ceremony race.";"Remportez la chevauchée céleste.";
"夢に出てきた 謎の少女を追いかける";"Follow the mysterious girl who appeared in
your dream.";"Rattrapez l'étrange jeune fille qui vous est
apparue en rêve.";
"光の柱に向かい 雲の下にある大地へ";"Fly to the column of light and descend through
the clouds to the land below.";"Dirigez‐vous vers la colonne de lumière
et descendez sur terre, sous les nuages.";
"地上で無事にいるという ゼルダを捜す";"Search for Zelda, who seems to have landed
safely.";"Partez à la recherche de Zelda sur terre.";
"ゼルダを捜すため フィローネの森へ";"Go to Faron Woods and search for Zelda.";"Allez chercher Zelda dans la forêt de Firone.";
"森のキュイ族たちから ゼルダについて情報を集める";"Gather information on Zelda from the
Kikwis.";"Retrouvez la piste de Zelda en interrogeant
les Tikwis, le peuple de la forêt.";
"パチンコを使って ゼルダが向かった神殿へ";"Use the Slingshot to reach the temple where
Zelda is.";"Utilisez le lance‐pierre pour atteindre le temple
où se trouve Zelda.";
"天望の神殿のどこかにいる ゼルダを捜す";"Search for Zelda, who is somewhere in
Skyview Temple.";"Cherchez Zelda dans le temple de la
contemplation.";
"石版を スカイロフトの女神像まで持ち帰る";"Return the tablet to the Statue of the Goddess
in Skyloft.";"Rapportez la stèle à la statue de la Déesse.";
"新たな光の柱から オルディン地方へ";"Travel to Eldin Province using the new
column of light.";"Allez au volcan d'Ordinn grâce à la nouvelle
colonne de lumière.";
"オルディン地方で ゼルダを捜す";"Search for Zelda in Eldin Province.";"Cherchez Zelda au volcan d'Ordinn.";
"オルディン火山で 神殿入口のカギを探す";"Search for the key to the temple at Eldin Volcano.";"Reconstituez la clé du temple de la terre
au volcan d'Ordinn.";
"完成したカギで 火山の神殿の扉を開く";"Use the completed key to open the door to the
temple at Eldin Volcano.";"Ouvrez la porte du temple à l'aide de la clé
que vous avez reconstituée.";
"大地の神殿のどこかにいる ゼルダを捜す";"Search for Zelda in the Earth Temple.";"Cherchez Zelda dans le temple de la terre.";
"3枚目の石版を スカイロフトの女神像まで持ち帰る";"Return the third tablet to the Statue of the
Goddess in Skyloft.";"Rapportez la troisième stèle à la statue
de la Déesse.";
"新たな光の柱から ラネール地方へ";"Travel to Lanayru Province using the new
column of light.";"Allez au désert de Lanelle grâce à la nouvelle
colonne de lumière.";
"ラネール地方で ゼルダを捜す";"Search for Zelda in Lanayru Province.";"Cherchez Zelda dans le désert de Lanelle.";
"ラネール錬石場の 入口を探す";"Look for an entrance to Lanayru Mining Facility.";"Cherchez l'entrée de la raffinerie de Lanelle.";
"ラネール錬石場を抜け 時の神殿へ向かう";"Travel through Lanayru Mining Facility to the
Temple of Time.";"Traversez la raffinerie de Lanelle pour atteindre
le temple du temps.";
"手に入れたハープを持って 封印の地の老人に会う";"Show your new harp to the old woman at the
Sealed Grounds.";"Allez voir l'Ancienne au vallon du sceau avec
votre lyre.";
"封印の地で起きた 異変に対処する";"Respond to the event happening in the
Sealed Grounds.";"Réagissez aux événements étranges survenus
au vallon du sceau.";
"スカイロフトに伝わる 女神の詩について調べる";"Find out more about the Ballad of the Goddess
in Skyloft.";"Enquêtez sur le Chant de la Déesse.";
"校長から聞いた 女神の詩の謎を解く";"Unlock the mystery of the Ballad of the Goddess
told to you by the headmaster.";"Résolvez le mystère du Chant de la Déesse.";
"光の塔が指し示す 場所を調べる";"Investigate the location the Light Tower has
illuminated. ";"Allez à l'endroit qu'indique la tour de lumière.";
"フロルの勇気が導く 試練の入口を探す";"Follow the guidance of Farore's Courage to the
first Trial Gate.";"Cherchez l'entrée de l'épreuve et le Courage
de Farore vous ouvrira la voie.";
"水龍のウロコの力で フィローネの森をさらに探索";"Use the Water Dragon's Scale to search
Faron Woods.";"Continuez à explorer la forêt de Firone grâce à
l'écaille du dragon d'eau.";
"水龍に会って 聖なる炎のことを聞く";"Ask the Water Dragon about the sacred flame.";"Interrogez le dragon d'eau sur la flamme sacrée.";
"聖なる水を見つけて 水龍のもとへ持ち帰る";"Find some sacred water and take it to the
Water Dragon.";"Apportez de l'eau sacrée au dragon d'eau.";
"滝の奥に出現した 入口に入る";"Explore the area that opened up behind
the waterfall.";"Pénétrez dans le passage apparu derrière
la cascade.";
"古の大石窟で 聖なる炎を探す";"Look for a sacred flame within the
Ancient Cistern.";"Cherchez la flamme sacrée dans la grande
caverne antique.";
"次の詩を聞くため 詩島へ行く";"Travel to the Isle of Songs to learn the next song.";"Rendez‐vous sur l'île aux chants pour apprendre
un nouveau chant.";
"ネールの叡智が導く 試練の入口を探す";"Find and open the next Trial Gate with
Nayru's Wisdom.";"Cherchez l'entrée de l'épreuve et la Sagesse
de Nayru vous ouvrira la voie.";
"クローショットで ラネール砂漠をさらに探索";"Use the Clawshots to investigate Lanayru Desert.";"Explorez le désert de Lanelle grâce au grappin.";
"船長の家で 海図を手に入れる";"Retrieve the sea chart from the Skipper's Retreat.";"Allez chercher la carte marine dans la maison
du capitaine.";
"造船所で 船を探す";"Search for Skipper's ship at the Shipyard. ";"Cherchez le navire dans le chantier naval.";
"海賊の本拠地で 船を探す";"Search for Skipper's ship at the
Pirate Stronghold.";"Cherchez le navire dans le repaire des pirates.";
"ラネール砂海のどこかにある船を ダウジングで探す";"Use dowsing to find the old ship in
Lanayru Sand Sea.";"Utilisez la fonction détection pour localiser
le navire sur la mer de sable de Lanelle.";
"砂上船で 聖なる炎を探す";"Search the Sandship for the sacred flame.";"Cherchez la flamme sacrée sur le galion
des sables.";
"3つ目の詩を聞くため 詩島へ行く";"Fly to the Isle of Songs to learn the third song.";"Rendez‐vous sur l'île aux chants pour apprendre
le troisième chant.";
"ディンの力が導く 試練の入口を探す";"Find and open the next Trial Gate with
Din's Power.";"Cherchez l'entrée de l'épreuve et la Force de Din
vous ouvrira la voie.";
"耐熱イヤリングで 進入可能になった場所を探索";"Use the Fireshield Earrings to explore new areas.";"Explorez les zones désormais accessibles grâce
aux boucles ignifuges.";
"オルディン火山 山頂へ 水を運ぶ方法を見つける";"Find a way to carry water to the peak of
Eldin Volcano.";"Transportez de l'eau jusqu'au sommet du
volcan d'Ordinn.";
"山頂奥の炎の壁まで水ガメを運び 神殿の中へ入る";"Transport the water basin to the wall of fire at the
peak of Eldin Volcano and enter the temple.";"Amenez la bassine d'eau jusqu'au mur de feu
au sommet du volcan et entrez dans le temple.";
"古の大祭殿で 聖なる炎を探す";"Find the third sacred flame within the
Fire Sanctuary.";"Cherchez la flamme sacrée dans le grand
sanctuaire ancien.";
"成長させた剣で 時の扉を起動する";"Activate the Gate of Time with your
enhanced sword.";"Activez la porte du temps grâce à votre nouveau
pouvoir.";
"封印の地の底から現れた 謎の魔物を再び封印する";"Seal away the mysterious monster that has
appeared at the bottom of Sealed Grounds again.";"Éliminez à nouveau le monstre surgi du fond du
vallon du sceau.";
"成長した剣で スカイウォードを時の扉に撃ち込む";"Hit the Gate of Time with a Skyward Strike
from your enhanced sword.";"Utilisez l'éclat céleste sur la porte du temps.";
"過去の世界で ゼルダと再会する";"Reunite with Zelda in the world of the past.";"Retrouvez Zelda dans le monde du passé.";
"ゼルダとの約束を果たすため もとの時代へ戻る";"Return to your own time to fulfill your promise
to Zelda.";"Retournez à votre époque pour tenir la promesse
que vous avez faite à Zelda.";
"トライフォースの情報を スカイロフトで調べる";"Search Skyloft for information about the
Triforce.";"Récoltez des informations sur la Triforce
à Célesbourg.";
"ナリシャ様に会う方法を アウール先生に聞きに行く";"Ask Instructor Owlan how to find Levias.";"Demandez à maître Arfan où trouver Narisha.";
"ナリシャ様に会って トライフォースについて聞く";"Meet with Levias and ask about the Triforce.";"Interrogez Narisha sur la Triforce.";
"地上の3人の龍から 勇者の詩の一節を聞く";"Ask the three dragons about the
Song of the Hero.";"Écoutez chacun des dragons chanter sa mélodie
du Chant du héros.";
"勇者の詩を完成させるため ナリシャ様のところへ戻る";"Return to Levias to complete the
Song of the Hero.";"Retournez voir Narisha pour compléter le
Chant du héros.";
"勇者の詩が導く 試練の入口を探す";"Find and open the next Trial Gate with the
Song of the Hero.";"Cherchez l'entrée de l'épreuve et le Chant du
héros vous ouvrira la voie.";
"対となる もう一方の 試練の刻印を探す";"Search for a second Stone of Trials.";"Cherchez le second sceau des épreuves.";
"女神の島の底に出現した 塔へ入る";"Enter the structure that has appeared underneath
the Isle of the Goddess.";"Entrez dans la tour apparue sous l'île
de la Déesse.";
"空の塔で 3つのトライフォースを探す";"Search for the three parts of the Triforce
within Sky Keep.";"Cherchez les trois Triforces dans la tour
des cieux.";
"ゼルダをさらった ギラヒムの後を追う";"Chase after Ghirahim, who has abducted Zelda.";"Partez à la recherche de Zelda, kidnappée par
Ghirahim.";
