Japanese;English;French;
"魔女の呪いがかけられた服は　
魔女にしか脱がすことができません
フリル姫はショックのあまり
部屋に閉じこもってしまい
国全体が悲しみに包まれました";"The witch had cursed the costume,
and only her magic could remove it...
Shame-stricken, the princess locked
herself in her room and wouldn't leave,
which cast a dark pall on the kingdom.";"La tenue était ensorcelée et seule la
sorcière pouvait en délivrer la princesse.
Horrifiée, celle-ci s'enferma dans sa
chambre, refusant désormais d'en sortir.
Le royaume fut plongé dans la tristesse...";
"魔女の住む魔境は 魔の住むところ
危険な魔境に行けるのは 選ばれし勇者のみ
魔女を倒し お姫様を救ってくれる勇者を求め
王様は近隣の国々におふれを出しました";"The Drablands were the witch's domain;
a nasty land, where only heroes ventured,
and reluctantly at that. And so the king,
in dire need of a hero, sent out envoys
to neighbouring lands.";"La sorcière habitait les contrées maudites,
des terres damnées, où seul un véritable
héros accepterait de se rendre...
Le roi dépêcha donc des messagers de
par le monde, en quête d'un tel héros.";
"そこにひとりの若者がやってきました";"Enter a young boy,
eager for adventure...";"C'est alors que se présenta un jeune
garçon avide d'aventure...";
"STAFF CREDITS";"STAFF CREDITS";"STAFF CREDITS";
"DIRECTOR";"DIRECTOR";"DIRECTOR";
"　　四方 宏昌";" Hiromasa Shikata";" Hiromasa Shikata";
"SYSTEM DIRECTOR";"SYSTEM DIRECTOR";"SYSTEM DIRECTOR";
"　　毛利 志朗";" Shiro Mouri";" Shiro Mouri";
"GAME PLANNING LEAD";"GAME PLANNING LEAD";"GAME PLANNING LEAD";
"　　山田 洋一";" Yoichi Yamada";" Yoichi Yamada";
"GAME PLANNING";"GAME PLANNING";"GAME PLANNING";
"　　池松 真一
　　白川 真理";" Shinichi Ikematsu
 Mari Shirakawa";" Shinichi Ikematsu
 Mari Shirakawa";
"COURSE PLANNING LEAD";"COURSE PLANNING LEAD";"COURSE PLANNING LEAD";
"　　桑田 浩之";" Hiroyuki Kuwata";" Hiroyuki Kuwata";
"COURSE PLANNING";"COURSE PLANNING";"COURSE PLANNING";
"　　手塚 達磨
　　丸林 靖典
　　馬場 博年
　　佐賀野 仁
　　吉川 充
　　前山 知宏";" Tatsumaro Tezuka
 Yasunori Marubayashi
 Hirotoshi Baba
 Hitoshi Sagano
 Mitsuru Yoshikawa
 Tomohiro Maeyama";" Tatsumaro Tezuka
 Yasunori Marubayashi
 Hirotoshi Baba
 Hitoshi Sagano
 Mitsuru Yoshikawa
 Tomohiro Maeyama";
"BOSS PLANNING LEAD";"BOSS PLANNING LEAD";"BOSS PLANNING LEAD";
"　　大岩 幹治";" Mikiharu Oiwa";" Mikiharu Oiwa";
"BOSS PLANNING";"BOSS PLANNING";"BOSS PLANNING";
"　　山中 誠也";" Seiya Yamanaka";" Seiya Yamanaka";
"PROGRAMMING LEAD
PLAYER PROGRAMMING";"PROGRAMMING LEAD
PLAYER PROGRAMMING";"PROGRAMMING LEAD
PLAYER PROGRAMMING";
"　　岡根 慎治";" Shinji Okane";" Shinji Okane";
"NETWORK PROGRAMMING";"NETWORK PROGRAMMING";"NETWORK PROGRAMMING";
"　　竹下 義隆";" Yoshitaka Takeshita";" Yoshitaka Takeshita";
"GAMESYSTEM PROGRAMMING";"GAME SYSTEM PROGRAMMING";"GAME SYSTEM PROGRAMMING";
"　　山崎 淳司";" Atsushi Yamazaki";" Atsushi Yamazaki";
"GRAPHICS PROGRAMMING";"GRAPHICS PROGRAMMING";"GRAPHICS PROGRAMMING";
"　　守屋 俊";" Shun Moriya";" Shun Moriya";
"SYSTEM PROGRAMMING";"SYSTEM PROGRAMMING";"SYSTEM PROGRAMMING";
"　　櫻庭 義彦
　　山岡 直記";" Yoshihiko Sakuraba
 Naoki Yamaoka";" Yoshihiko Sakuraba
 Naoki Yamaoka";
"ENEMY PROGRAMMING";"ENEMY PROGRAMMING";"ENEMY PROGRAMMING";
"　　渡辺 伸悟
　　境田 道大

　　倉田 雄一
　　嶋田 翔太
　　平石 有孝
　　吉尾 享
　　三上 亘";" Shingo Watanabe
 Michihiro Sakaida

 Yuichi Kurata
 Shota Shimada
 Tomonori Hiraishi
 Tohru Yoshio
 Wataru Mikami";" Shingo Watanabe
 Michihiro Sakaida

 Yuichi Kurata
 Shota Shimada
 Tomonori Hiraishi
 Tohru Yoshio
 Wataru Mikami";
"UI PROGRAMMING";"UI PROGRAMMING";"UI PROGRAMMING";
"　　横浜 圭
　　西川 直輝
　　蛯沢 厚志";" Kei Yokohama
 Naoki Nishikawa
 Atsushi Ebisawa";" Kei Yokohama
 Naoki Nishikawa
 Atsushi Ebisawa";
"TECHNICAL COORDINATOR";"TECHNICAL COORDINATOR";"TECHNICAL COORDINATOR";
"　　竹内 清";" Kiyoshi Takeuchi";" Kiyoshi Takeuchi";
"NETWORK PROGRAMMING
SUPPORT";"NETWORK PROGRAMMING
SUPPORT";"NETWORK PROGRAMMING
SUPPORT";
"　　中田 鉄也
　　西野 友博
　　松尾 周平

　　鈴木 ゆかり";" Tetsuya Nakata
 Tomohiro Nishino
 Shuhei Matsuo

 Yukari Suzuki";" Tetsuya Nakata
 Tomohiro Nishino
 Shuhei Matsuo

 Yukari Suzuki";
"PROGRAMMING SUPPORT";"PROGRAMMING SUPPORT";"PROGRAMMING SUPPORT";
"　　古矢 卓巳";" Takumi Furuya";" Takumi Furuya";
"DESIGN LEAD
PLAYER DESIGN";"DESIGN LEAD
PLAYER DESIGN";"DESIGN LEAD
PLAYER DESIGN";
"　　梅田 啓介";" Keisuke Umeda";" Keisuke Umeda";
"CHARACTER DESIGN LEAD
MOTION DESIGN";"CHARACTER DESIGN LEAD
MOTION DESIGN";"CHARACTER DESIGN LEAD
MOTION DESIGN";
"　　高橋 一彦";" Kazuhiko Takahashi";" Kazuhiko Takahashi";
"FIELD DESIGN LEAD
CONCEPT ILLUSTRATION
UI DESIGN";"FIELD DESIGN LEAD
CONCEPT ILLUSTRATION
UI DESIGN";"FIELD DESIGN LEAD
CONCEPT ILLUSTRATION
UI DESIGN";
"　　安田 正樹";" Masaki Yasuda";" Masaki Yasuda";
"CONCEPT ILLUSTRATION";"CONCEPT ILLUSTRATION";"CONCEPT ILLUSTRATION";
"　　池田 真美";" Mami Ikeda";" Mami Ikeda";
"CHARACTER MODEL DESIGN";"CHARACTER MODEL DESIGN";"CHARACTER MODEL DESIGN";
"　　天野 栄市
　　宇ノ井 友里

　　川崎 杏子";" Eiichi Amano
 Yuri Unoi

 Kyoko Kawasaki";" Eiichi Amano
 Yuri Unoi

 Kyoko Kawasaki";
"CHARACTER MOTION DESIGN";"CHARACTER MOTION DESIGN";"CHARACTER MOTION DESIGN";
"　　佐野 広行
　　岡田 祐汰";" Hiroyuki Sano
 Yuta Okada";" Hiroyuki Sano
 Yuta Okada";
"FIELD DESIGN";"FIELD DESIGN";"FIELD DESIGN";
"　　佐藤 善充
　　鈴木 里穂
　　坪井 智加

　　菊地 美緒
　　二瓶 直也
　　青山 孔士";" Yoshimitsu Sato
 Riho Suzuki
 Tomoka Tsuboi

 Mio Kikuchi
 Naoya Nihei
 Koji Aoyama";" Yoshimitsu Sato
 Riho Suzuki
 Tomoka Tsuboi

 Mio Kikuchi
 Naoya Nihei
 Koji Aoyama";
"EFFECTS DESIGN ";"EFFECTS DESIGN ";"EFFECTS DESIGN ";
"　　池内 隼生

　　大岩 幹治";" Junki Ikeuchi

 Mikiharu Oiwa";" Junki Ikeuchi

 Mikiharu Oiwa";
"UI DESIGN";"UI DESIGN";"UI DESIGN";
"　　浅野 雅世";" Masayo Asano";" Masayo Asano";
"CINEMATIC DESIGN";"CINEMATIC DESIGN";"CINEMATIC DESIGN";
"　　金子 幸樹";" Yuki Kaneko";" Yuki Kaneko";
"DESIGN SUPPORT";"DESIGN SUPPORT";"DESIGN SUPPORT";
"　　渡辺 大介
　　橋本 和典";" Daisuke Watanabe 
 Kazunori Hashimoto";" Daisuke Watanabe 
 Kazunori Hashimoto";
"DESIGN ADVISER";"DESIGN ADVISER";"DESIGN ADVISER";
"　　春花 良紀";" Yoshiki Haruhana";" Yoshiki Haruhana";
"SOUND LEAD
MUSIC";"SOUND LEAD
MUSIC";"SOUND LEAD
MUSIC";
"　　永松 亮";" Ryo Nagamatsu";" Ryo Nagamatsu";
"SOUND EFFECTS
SOUND PROGRAMING";"SOUND EFFECTS
SOUND PROGRAMING";"SOUND EFFECTS
SOUND PROGRAMING";
"　　水田 真人";" Masato Mizuta";" Masato Mizuta";
"VOICE";"VOICE";"VOICE";
"　　瀧本 富士子
　　松本 さち
　　小平 有希
　　斎賀 みつき

　　田村 聖子
　　齋藤 綾
　　佐藤 晴男
　　藤原 貴弘";" Fujiko Takimoto
 Sachi Matsumoto
 Yuuki Kodaira
 Mitsuki Saiga

 Seiko Tamura
 Aya Saito
 Haruo Satou
 Takahiro Fujiwara";" Fujiko Takimoto
 Sachi Matsumoto
 Yuuki Kodaira
 Mitsuki Saiga

 Seiko Tamura
 Aya Saito
 Haruo Satou
 Takahiro Fujiwara";
"";"NOA Localization Management";"NOA Localization Management";
"";" Nate Bihldorff
 Reiko Ninomiya
 Tim O'Leary";" Nate Bihldorff
 Reiko Ninomiya
 Tim O'Leary";
"";"NOA Localization";"NOA Localization";
"";" Gema Almoguera
 David Carrasco López
 Billy Carroll
 Audrey Drake
 Yoriko Marusich
 Laurence Millerioux-Tanen
";" Gema Almoguera
 David Carrasco López
 Billy Carroll
 Audrey Drake
 Yoriko Marusich
 Laurence Millerioux-Tanen
";
"";"NOA Product Testing";"NOA Product Testing";
"";" Tica Cardozo Galvis
 Nicko Gonzalez De Santiago
 Sara Hoad
 Jim Holdeman
 Kathy Huguenard
 Shannon Jaye Roberts
 Teresa Lillygren
 Miyuki Matsunaga
 Brad Matteson
 Tomoko Mikami
 Jeff Miller
 Joe Pasini
 Erin Peterson
 Ludovic Tientcheu
 Pat Wells
 Product Testing Technicians 
 PTD Guideline Compliance";" Tica Cardozo Galvis
 Nicko Gonzalez De Santiago
 Sara Hoad
 Jim Holdeman
 Kathy Huguenard
 Shannon Jaye Roberts
 Teresa Lillygren
 Miyuki Matsunaga
 Brad Matteson
 Tomoko Mikami
 Jeff Miller
 Joe Pasini
 Erin Peterson
 Ludovic Tientcheu
 Pat Wells
 Product Testing Technicians 
 PTD Guideline Compliance";
"";"NOE Localisation Management";"NOE Localisation Management";
"";" Theodoros Spenis
 Fabrizio Cattaneo";" Theodoros Spenis
 Fabrizio Cattaneo";
"";"NOE Localisation";"NOE Localisation";
"";" Araceli Mazón Figueroa
 Michael Frisch
 Greg T. Sadownik
 Elly Hart
 Claudia Smith
 Laurent Godinot
 Natacha Faubert
 Nicolas Sciotti
 Hervé Lefranc
 Arne Glinka
 Helge Friedrich
 Adriano Antonini
 Bruno Gramigna
 Giaime Carbonara
 Kent Robello
 Sara Sáinz Nieto
 Raúl Guerrero Plaza
 Richard Wylie
 Andrea De Benedetto
 Timothy Faulkner
 Guillaume Deschamps
 Matteo Zuzzi
 Zoran Tasevski
 David Martín Navarro
 NOE Quality Assurance";" Araceli Mazón Figueroa
 Michael Frisch
 Greg T. Sadownik
 Elly Hart
 Claudia Smith
 Laurent Godinot
 Natacha Faubert
 Nicolas Sciotti
 Hervé Lefranc
 Arne Glinka
 Helge Friedrich
 Adriano Antonini
 Bruno Gramigna
 Giaime Carbonara
 Kent Robello
 Sara Sáinz Nieto
 Raúl Guerrero Plaza
 Richard Wylie
 Andrea De Benedetto
 Timothy Faulkner
 Guillaume Deschamps
 Matteo Zuzzi
 Zoran Tasevski
 David Martín Navarro
 NOE Quality Assurance";
"PROJECT MANAGEMENT";"PROJECT MANAGEMENT";"PROJECT MANAGEMENT";
"　　松岡 秀明";" Hideaki Matsuoka";" Hideaki Matsuoka";
"SUPERVISORS";"SUPERVISORS";"SUPERVISORS";
"　　江口 勝也
　　手塚 卓志
　　岩本 大貴
　　宮永 真";" Katsuya Eguchi
 Takashi Tezuka
 Daiki Iwamoto
 Makoto Miyanaga";" Katsuya Eguchi
 Takashi Tezuka
 Daiki Iwamoto
 Makoto Miyanaga";
"TECHNICAL SUPPORT";"TECHNICAL SUPPORT";"TECHNICAL SUPPORT";
"　　川口 恭弘
　　小川 優太";" Yasuhiro Kawaguchi
 Yuta Ogawa";" Yasuhiro Kawaguchi
 Yuta Ogawa";
"DEBUG";"DEBUG";"DEBUG";
"　　藤田 大介
　　細井 俊宗
　　木瀬 雅人
　　田上 智也

　　マリオクラブ株式会社
　　株式会社デジタルハーツ";" Daisuke Fujita
 Toshimune Hosoi
 Masato Kise
 Tomoya Tajo

 Mario Club Co., Ltd.
 DIGITAL Hearts Co., Ltd.";" Daisuke Fujita
 Toshimune Hosoi
 Masato Kise
 Tomoya Tajo

 Mario Club Co., Ltd.
 DIGITAL Hearts Co., Ltd.";
"QUALITY CONTROL SUPPORT";"QUALITY CONTROL SUPPORT";"QUALITY CONTROL SUPPORT";
"　　倉持 孝美
　　新開 文子　";" Takami Kuramochi
 Ayako Shinkai";" Takami Kuramochi
 Ayako Shinkai";
"ILLUSTRATION";"ILLUSTRATION";"ILLUSTRATION";
"　　中野 祐輔
　　足立 友理
　　大原 一恵";" Yusuke Nakano
 Yuri Adachi
 Kazue Ohara ";" Yusuke Nakano
 Yuri Adachi
 Kazue Ohara ";
"SPECIAL THANKS";"SPECIAL THANKS";"SPECIAL THANKS";
