Japanese;English;French;
"フックショット";"Hookshot";"grappin";
"マジックロッド";"Magic Rod";"bâton de feu";
"ブーメラン";"Boomerang";"boomerang";
"オカリナ";"Ocarina";"ocarina";
"スコップ";"Shovel";"pelle";
"魔法の粉";"Magic Powder";"poudre magique";
"バクダン";"Bomb";"bombe";
"地図";"Dungeon Map";"carte";
"コンパス";"Compass";"boussole";
"小さなカギ";"Small Key";"petite clé";
"ボスのカギ";"Nightmare Key";"clé du boss";
"テールのカギ";"Tail Key";"clé Flagello";
"スライムのカギ";"Slime Key";"clé Cyclope";
"アングラーのカギ";"Angler Key";"clé Poisson";
"フェイスのカギ";"Face Key";"clé Masque";
"バードのカギ";"Bird Key";"clé Vautour";
"満月のバイオリン";"Full Moon Cello";"Violon des Vagues";
"巻き貝のホルン";"Conch Horn";"Conque de l'Écume";
"海ゆりのベル";"Sea Lily's Bell";"Cloche des Algues";
"潮騒のハープ";"Surf Harp";"Harpe du Reflux";
"嵐のマリンバ";"Wind Marimba";"Xylophone Marin";
"さんごのトライアングル";"Coral Triangle";"Triangle de Corail";
"夕凪のオルガン";"Organ of Evening Calm";"Orgue de l'Embellie";
"遠雷のドラム";"Thunder Drum";"Tambour des Marées";
"ネボケタケ";"Sleepy Toadstool";"champignon qui endort";
"ヒミツの貝がら";"Secret Seashell";"coquillage";
"ヒミツのくすり";"Secret Medicine";"baume secret";
"黄金の[Tag Ruby  val={03000300E381AF} ]葉っぱ";"Golden Leaf";"feuille d'or";
"アングラーの水かき";"Flippers";"palmes";
"ルピー";"Rupee";"rubis";
"ハート";"Heart";"cœur";
"ハートのかけら";"Piece of Heart";"fragment de cœur";
"ハートの器";"Heart Container";"réceptacle de cœur";
"妖精";"Fairy";"fée";
"まもりの木の実";"Guardian Acorn";"gland de défense";
"力のかけら";"Piece of Power";"fragment de puissance";
"石像のクチバシ";"Stone Beak";"bec de pierre";
"ヨッシー人形";"Yoshi Doll";"peluche de Yoshi";
"リボン";"Ribbon";"ruban";
"ドッグフード";"Dog Food";"pâtée";
"バナナ";"Bananas";"bananes";
"ぼうきれ";"Stick";"bâton";
"ハチの巣";"Honeycomb";"ruche";
"パイナップル";"Pineapple";"ananas";
"ヤギの手紙";"Goat's Letter";"lettre de chèvre";
"ほうき";"Broom";"balai";
"つりばり";"Fishing Hook";"hameçon";
"ネックレス";"Necklace";"collier";
"人魚のウロコ";"Mermaid's Scale";"écaille";
"見通しレンズ";"Magnifying Lens";"loupe";
"赤い服";"Red Mail";"tunique rouge";
"青い服";"Blue Mail";"tunique bleue";
"なくした剣";"Lost Sword";"épée";
"キノコ";"Toadstool";"champignon";
"セイレーンの楽器";"Instruments of the Sirens";"instruments des Sirènes";
"笛";"Flute";"ocarina";
"矢";"Arrow";"flèche";
"キャンキャンのフィギュア";"CiaoCiao Figure";"figurine de Kaïkaï";
"クリボーのフィギュア";"Goomba Figure";"figurine de Goomba";
"トゲゾーのフィギュア";"Spiny Figure";"figurine de Hériss";
"テレサのフィギュア";"Boo Figure";"figurine de Boo";
"プクプクのフィギュア";"Cheep Cheep Figure";"figurine de Cheep Cheep";
"ゲッソーのフィギュア";"Blooper Figure";"figurine de Bloups";
"ヘイホーのフィギュア";"Shy Guy Figure";"figurine de Maskass";
"パックンフラワーのフィギュア";"Piranha Plant Figure";"figurine de Plante Piranha";
"サンボのフィギュア";"Pokey Figure";"figurine de Pokey";
"ワンワンのフィギュア";"BowWow Figure";"figurine de Toutou";
"貝がらセンサー";"Seashell Sensor";"détecteur de coquillages";
"[Tag Ruby  val={06000C00E38288E38186E3819BE38184} ]妖精のビン";"Fairy Bottle";"flacon à fée";
"ハイビスカス";"Hibiscus";"hibiscus";
"[Tag Ruby  val={03000900E381BFE381A9E3828A} ]緑の[Tag Ruby  val={03000600E381B5E3818F} ]服";"Green Tunic";"tunique verte";
"コホリントの[Tag Ruby  val={03000600E38191E38293} ]剣";"Koholint Sword";"épée de Cocolint";
"マリン";"Marin";"Marine";
"タリン";"Tarin";"Tarkin";
"マダムニャンニャン";"Madam MeowMeow";"Mme Miaou Miaou";
"ワンワン";"BowWow";"Toutou";
"キャンキャン";"CiaoCiao";"Kaïkaï";
"ヤッホーばあさん";"Grandma Yahoo";"Mamie Youpi";
"うるりらじいさん";"Old Man Ulrira";"Pépé le Ramollo";
"道具屋";"Shopkeeper";"marchand";
"ゲーム屋";"Trendy Gamester";"gérant de la salle de jeu";
"つりぼりの店主";"Fisherman";"pêcheur";
"パパール";"Papahl";"Papounet";
"ママーシャ";"Mamasha";"Mamounette";
"タムタム";"Joonya";"Tamtam";
"トムトム";"Kidoh";"Tomtom";
"ケンケン";"Suhni";"Kenken";
"テンテン";"Lattie";"Tenten";
"キツネ";"Fox";"renard";
"フクロウ";"Owl";"hibou";
"セール";"Sale";"Alligo";
"いたずらタヌキ";"Raccoon";"raton laveur espiègle";
"大妖精";"Great Fairy";"grande fée";
"魔法おばば";"Witch";"sorcière";
"Dr.ライト";"Mr. Write";"Dr Wright";
"トレーシー";"Tracy";"Monique";
"ネズミ";"Mouse";"souris";
"小悪魔";"Li'l Devil";"diablotin";
"リチャード";"Richard";"Richard";
"サルキッキ";"Kiki the Monkey";"Kiki le singe";
"モン";"Gar";"Gar";
"バン";"Dion";"Dien";
"妖精の女王";"Fairy Queen";"reine des fées";
"クマのコック";"Chef Bear";"ours cuisinier";
"クリスティーヌ";"Christine";"Christine";
"シュール・ドナピッチ";"Schule Donavitch";"Sven Donavitch";
"モデルのカバ";"Hippo Model";"hippopotame modèle";
"うさぎ";"Rabbit";"lapin";
"セイウチ";"Walrus";"morse";
"子グマ";"Bear Cub";"ourson";
"南国鳥";"Toucan";"toucan";
"マンボためごろう";"Manbo";"Manbo";
"オバケ";"Ghost";"fantôme";
"つりぼりの店主";"Fisherman";"pêcheur";
"人魚";"Mermaid";"sirène";
"イカダ屋";"Raft Shop Owner";"loueur de radeaux";
"マムー";"Mamu";"Wart";
"ゾーラ";"Zora";"Zora";
"ゴーリア";"Goriya";"Goriya";
"ニワトリ小屋のおじさん";"Henhouse Keeper";"éleveur de poules";
"かぜのさかな";"Wind Fish";"Poisson-Rêve";
"ダンペイさん";"Dampé ";"Igor";
"貝がらの館の主";"Seashell Spirit";"esprit des coquillages";
"おしゃべりな木";"Talking Tree";"arbre bavard";
"？？？";"???";"???";
"キャンキャン";"ChowChow";"Kaïkaï";
"パネルダンジョン";"Chamber Dungeon";"donjon-mosaïque";
"パネル";"Chamber";"carreau";
"＋チップ";"+Effect Panel";"plaquette";
"お[Tag Ruby  val={03000600E381A0E38184} ]題";"Challenge";"problème";
"[Tag Ruby  val={0F001500E38191E38293E38197E38288E38186E381B5E3818B} ]剣使用不可";"Sword Restriction";"épée interdite";
"ハート[Tag Ruby  val={06000900E38197E381A6E38184} ]指定";"Heart Limit";"cœurs limités";
"[Tag Ruby  val={0C001500E38198E3818BE38293E3819BE38184E38192E38293} ]時間制限";"Time Limit";"temps limité";
"スタートパネル";"Entrance";"carreau d'entrée";
"ゴールのボスパネル";"Nightmare's Lair";"carreau du boss";
"[Tag Ruby  val={06000900E381A4E38186E3828D} ]通路";"Exits";"issue";
"パネ[Tag Ruby  val={03000600E38184E38197} ]石";"Chamber Stone";"carrelite";
"[Tag Ruby  val={09001200E381A0E38184E38288E38186E3819BE38184} ]大妖精のパネル";"Great Fairy's Chamber";"carreau à grande fée";
"オヤブリンのパネル";"Moblin Chief's Chamber";"carreau à Gros Blin";
"[Tag Ruby  val={0C001800E381A6E381A3E3818DE38285E38186E381B8E38184E38197} ]鉄球兵士のパネル";"Ball and Chain Trooper's Chamber";"carreau à soldat à fléau";
"羽つきアイテムのパネル";"Winged Item Chamber";"carreau à objets ailés";
"デグアモスのパネル";"Armos Knight's Chamber";"carreau à Grand Armos";
"シャドウリンクの＋チップ";"+Shadow Link Effect";"plaquette Link noir";
"バクダンの＋チップ";"+Bombs Effect";"plaquette bombes";
"ルピーの＋チップ";"+Rupees Effect";"plaquette rubis";
"ハートの＋チップ";"+Hearts Effect";"plaquette cœurs";
"マモノ[Tag Ruby  val={06000900E3819EE38186E3818B} ]増加の＋チップ";"+Monsters Effect";"plaquette déluge de monstres";
"フォールマスターの＋チップ";"+Wallmasters Effect";"plaquette La Main";
"アイテム";"Item";"inventaire";
"マップ";"Map";"carte";
"システム";"System";"options";
"ワープ";"Warp";"téléportation";
"おもいで";"Memories";"souvenirs";
"ピン";"Pin";"balise";
"[Tag Ruby  val={06000C00E3818BE38184E381A0E38293} ]階段";"Stairs";"escalier";
"カギトビラ";"Locked Door";"porte verrouillée";
"カギブロック";"Locked Block";"bloc verrouillé";
"セットアイテム";"Tools";"objets à assigner";
"コレクトアイテム";"Collection";"objets à collectionner";
"テクタイト";"Tektite";"Araknon";
"オクタロック";"Octorok";"Octorok";
"ウニ";"Sea Urchin";"Oursin";
"リーバー";"Leever";"Leever";
"ピース";"Sand Crab";"Pierce";
"とたけけ";"K.K. Sniper";"Kéké";
"ピーハット";"Peahat";"Peahat";
"モリブリン（剣）";"Sword Moblin";"Moblin à épée";
"モリブリン（槍）";"Spear Moblin";"Moblin à lance";
"バズブロブ";"Buzz Blob";"Buzz-blob";
"ノモス";"Cukeman";"Binoclard";
"クロウリー";"Crow";"Corbos";
"ひれピラニア";"Piranha";"Piranha";
"モネア";"Goponga Flower";"anémone";
"アナモネア";"Giant Goponga Flower";"anémone géante";
"ギーニ";"Ghini";"Ghini";
"デグギーニ";"Giant Ghini";"Ghini géant";
"ゾンビ";"Zombie";"Zombie";
"ブタブリン（剣）";"Sword Boarblin";"Porblin à épée";
"ブタブリン（槍）";"Spear Boarblin";"Porblin à lance";
"アモス";"Armos";"Armos";
"パタオクタ";"Winged Octorok";"Paraoctorok";
"ピッコロ";"Creep";"Piccolo";
"ゾロゾロ";"Beetle";"Grouilleur";
"ゾーラ";"Zora";"Zora";
"ゾル（緑）";"Green Zol";"Zol vert";
"ゾル（赤）";"Red Zol";"Zol rouge";
"ミニゾル";"Mini Zol";"Mini Zol";
"ヘイジー";"Spiny Beetle";"Heiji";
"ヘイジー（草）";"Bush Beetle";"Heiji buisson";
"ヘイジー（岩）";"Stone Beetle";"Heiji rocher";
"ヘイジー（ドクロ）";"Skull Beetle";"Heiji crâne";
"サンボ";"Pokey";"Pokey";
"キューネ";"Dacto";"Ptéros";
"ポーン";"Hardhat Beetle";"Pion";
"ロープ";"Rope";"Rope";
"バイア";"Vire";"Vire";
"テール";"Mini-Moldorm";"Tehl";
"トゲゾー";"Spiny";"Hériss";
"ベガス";"Three-of-a-Kind";"Brelan";
"デスボール";"Voidmaster";"Orbe du vide";
"パックンフラワー";"Piranha Plant";"Plante Piranha";
"ホール・ド・アーム";"Pincer";"Pinçoir";
"ドクロナイト";"Shrouded Stalfos";"Chevalier crâne";
"ドクロナイト・ソード";"Sword Stalfos";"Chevalier crâne à épée";
"マネマネ";"Hollow Mimic";"Imitt";
"ボマー（赤）";"Red Bombite";"Bombar rouge";
"ボマー（緑）";"Green Bombite";"Bombar vert";
"ギブド";"Gibdo";"Gibdo";
"キース";"Keese";"Chauve-souris";
"タートナック（剣）";"Sword Darknut";"Darknut à épée";
"タートナック（槍）";"Spear Darknut";"Darknut à lance";
"ポルスボイス";"Pols Voice";"Pols Voice";
"ライクライク";"Like Like";"Like Like";
"スタルフォス（緑）";"Green Stalfos";"Stalfos vert";
"スタルフォス（オレンジ）";"Orange Stalfos";"Stalfos orange";
"ウィズローブ";"Wizzrobe";"Sorcier";
"クリボー";"Goomba";"Goomba";
"スパーク";"Spark";"Spark";
"クリーピー";"Zirro ";"Goompi";
"カービィ";"Birky";"Kirby";
"ヒップループ";"Helmasaur";"Hiploop";
"ヘイホー";"Shy Guy";"Maskass";
"キョロボー";"Pairodd";"Télépiou";
"ホーバー";"Water Tektite";"Glisseur";
"バレリーネ";"Ballereen";"Ballerinia";
"プクプク";"Cheep Cheep";"Cheep Cheep";
"ミニグラー";"Mini Angler";"Mini baudroie";
"ゲッソー";"Blooper";"Bloups";
"ホネパタ";"Bonewing";"Squelubin";
"ビヨーンおばけ（緑）";"Green Goo Specter";"Spectre gluant vert";
"ビヨーンおばけ（赤）";"Red Goo Specter";"Spectre gluant rouge";
"ビヨーンおばけ（青）";"Blue Goo Specter";"Spectre gluant bleu";
"カラコロ（緑）";"Green Hue Ball";"Orbœil vert";
"カラコロ（赤）";"Red Hue Ball";"Orbœil rouge";
"カラコロ（青）";"Blue Hue Ball";"Orbœil bleu";
"テレサ";"Boo";"Boo";
"ローラ";"Spike Roller";"Rouly";
"オヤブリン";"Moblin Chief";"Gros Blin";
"ヒノックス";"Hinox";"Hinox";
"ボムナック";"Bomb Trooper";"Bombnut";
"鉄球兵士";"Ball and Chain Trooper";"soldat à fléau";
"ドドンゴ";"Dodongo Snake";"Dodongo";
"ラネモーラ";"Lanmola";"Lanmola";
"ヒップループホバー";"Hydrosoar";"Hiploop glisseur";
"マスタースタルフォン";"Master Stalfos";"Maître Stalfon";
"ゴーマー";"Gohma";"Gohma";
"デグアモス";"Armos Knight";"Grand Armos";
"ジャッキー";"Rover";"Jacky";
"ピッコロ使い";"Grim Creeper";"Dompteur de Piccolos";
"カメイワ";"Turtle Rock";"rocher de la Tortue";
"マイトパンチ";"Blaino";"Blaino";
"デグドン";"Avalaunch";"Aplatitan";
"ボスブロブ";"Giant Buzz Blob";"Chef des Blobs";
"ド・ポーン";"Hardhit Beetle";"Chromapion";
"デグテール";"Moldorm";"Gigantehl";
"ツボ魔王";"Genie";"Génie";
"デグゾル";"Slime Eye";"Gigazol";
"アングラー";"Angler Fish";"Baudroie";
"フッカー";"Slime Eel";"Emmurène";
"マットフェイス";"Facade";"Face de dalles";
"アルバトス";"Evil Eagle";"Vulturos";
"デグフレム";"Hot Head";"Coloflamme";
"ゾル";"Giant Zol Shadow";"Zol";
"アグニム";"Agahnim Shadow";"Agahnim";
"デクテール";"Moldorm Shadow";"Gigantehl";
"ガノン";"Ganon Shadow";"Ganon";
"ラネモーラ";"Lanmola Shadow";"Lanmola";
"シャドー";"Death Shadow";"Maléficio";
"[Tag Ruby  val={03000600E381A1E38184} ]小さなサカナ";"Runt";"petit poisson";
"[Tag Ruby  val={03000600E3818AE3818A} ]大きなサカナ";"Lunker";"gros poisson";
"ヌシ";"Ol' Baron";"roi de l'étang";
"マモノ";"Monsters";"monstre";
"かいぶつ";"Beasts";"monstre";
"コホリント";"Koholint";"Cocolint";
"島";"Island";"île";
"目覚めの使者";"目覚めの使者";"héraut de l'éveil";
"使者";"使者";"héraut";
"勇者";"Hero";"héros";
"神";"神";"dieu";
"楽器";"Instruments";"instrument";
"黄金の葉っぱ";"Golden Leaf";"feuille d'or";
"葉っぱ";"Leaf";"feuille";
"古代の遺跡";"Ancient Ruins";"ruines antiques";
"遺跡";"Shrine";"ruines";
"山の塔";"Mountain Towers";"tour de la montagne";
"東の塔";"Eastern Tower";"tour de l'est";
"空飛ぶニワトリ";"Flying Rooster";"Coq Volant";
"空飛ぶコッコ";"Flying Cucco";"coq volant";
"ニワトリ";"Cucco";"coq";
"キノコ";"Toadstool";"champignon";
"クリスチーヌ";"Christine";"Christine";
"ライトさま";"Mr. Write";"M. Wright";
"かぜのさかなの歌";"Ballad of the Wind Fish";"Ballade du Poisson-Rêve";
"目覚めの歌";"Song of Awakening";"Chanson de l'Éveil";
"マンボウのマンボ";"Manbo's Mambo";"Mambo de Manbo";
"カエルのソウル";"Frog's Song of Soul";"Rap des grenouilles";
"釣り";"Fishing";"pêche";
"軽いルアー";"Lightweight Lure";"leurre léger";
"やや重いルアー";"Middleweight Lure";"leurre standard";
"重いルアー";"Heavyweight Lure";"leurre lourd";
"急流すべり";"Rapids Ride";"descente des rapides";
"アイテム集め";"Rapids Raid";"collecte d'objets";
"タイムアタック";"Rapids Race";"contre-la-montre";
"石板";"Wall Relief";"marbre ancien";
"カラス";"Crow";"corbeau";
"敵の兵士";"敵の兵士";"soldat ennemi";
"沼";"Swamp";"marais";
"花";"Flowers";"fleur";
"草原";"Prairie";"prairie";
"滝";"Waterfall";"cascade";
"入り江";"Bay";"baie";
"神殿";"Temple";"temple";
"山";"Mountains";"montagne";
"どろぼー";"THIEF";"VOYOU";
"テールのカギ穴";"Tail Keyhole";"serrure Flagello";
"スライムのカギ穴";"Slime Keyhole";"serrure Cyclope";
"アングラーのカギ穴";"Angler Keyhole";"serrure Poisson";
"バードのカギ穴";"Bird Keyhole";"serrure Vautour";
"フェイスのカギ穴";"Face Keyhole";"serrure Masque";
"[Tag Color  val={62CFFFFF} ][Tag Ruby  val={03000600E3818BE381BF} ]神のタマゴに [Tag Ruby  val={03000300E38182} ]会いに[Tag Ruby  val={03000300E38286} ]行け
[Tag Ruby  val={06000900E381ADE38184E3828D} ]音色に [Tag Ruby  val={03000600E3818BE381BF} ]神は[Tag Ruby  val={03000600E38193E3819F} ]応えよう[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]MUSIC. THE FISH STIRS IN THE EGG.
YOU ARE THERE...[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]RENDS-TOI AUPRÈS DE L'ŒUF SACRÉ.
D'UNE MÉLODIE TU LE FERAS RÉAGIR.[Tag Color  val={EDEDEDFF} ][KeyWait]";
"[Tag Color  val={62CFFFFF} ][Tag Ruby  val={06000C00E38182E38197E38282E381A8} ]足下に ヒミツあり[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]IN SOIL SLEEPS SECRETS, BENEATH
YOUR SOLES...[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]SOUS TES PIEDS DORT UN SECRET.[Tag Color  val={EDEDEDFF} ][KeyWait]";
"[Tag Color  val={62CFFFFF} ]この[Tag Ruby  val={03000600E38182E3819F} ]辺り ヒミツあり[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]AROUND HERE, SECRETS ARE NIGH.[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]TOUT PRÈS D'ICI DORT UN SECRET.[Tag Color  val={EDEDEDFF} ][KeyWait]";
"[Tag Color  val={62CFFFFF} ]「かぜのさかな」は サカナにあらず
[Tag Ruby  val={03000600E3818BE3819C} ]風を[Tag Ruby  val={03000300E38288} ]呼ぶが [Tag Ruby  val={03000600E381A8E3828A} ]鳥にもあらず[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]THE WIND FISH IN NAME ONLY, FOR IT
IS NEITHER.[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]LE POISSON-RÊVE N'A DU POISSON QUE
LE NOM, ET S'IL FEND LES AIRS, IL N'EN EST
PAS DAVANTAGE UN OISEAU.[Tag Color  val={EDEDEDFF} ][KeyWait]";
"[Tag Color  val={62CFFFFF} ][Tag Ruby  val={03000600E381AFE38197} ]橋の[Tag Ruby  val={03000600E38197E3819F} ]下 ヒミツあり[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]SECRETS ARE LIKE WATER WHEN IT
COMES TO BRIDGES.[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]SOUS LE PONT DORT UN SECRET.[Tag Color  val={EDEDEDFF} ][KeyWait]";
"[Tag Color  val={62CFFFFF} ][Tag Ruby  val={03000600E38286E38281} ]夢が[Tag Ruby  val={03000300E38195} ]覚めたら アワになる
マモノもみんな アワになる[Tag Color  val={EDEDEDFF} ][KeyWait]
[Tag Color  val={62CFFFFF} ]だからマモノは ジャマをする
[Tag Ruby  val={06000600E38281E38196} ]目覚めの[Tag Ruby  val={06000900E38197E38197E38283} ]使者の ジャマをする[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]SEA BEARS FOAM. SLEEP BEARS DREAMS.
BOTH END IN THE SAME WAY: CRASSSH![Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]QUAND VIENDRA L'ÉVEIL, LE RÊVE
DISPARAÎTRA, EMPORTANT LES MONSTRES
AVEC LUI.[Tag Color  val={EDEDEDFF} ][KeyWait]
[Tag Color  val={62CFFFFF} ]C'EST POURQUOI LES MONSTRES TENTENT
D'ARRÊTER LE HÉRAUT DE L'ÉVEIL.[Tag Color  val={EDEDEDFF} ][KeyWait]
";
"[Tag Color  val={62CFFFFF} ]「かぜのさかな」の[Tag Ruby  val={06000600E38281E38196} ]目覚め なくば
[Tag Ruby  val={06000C00E38286E38186E38197E38283} ]勇者は [Tag Ruby  val={03000600E38197E381BE} ]島の[Tag Ruby  val={03000600E381A4E381A1} ]土になる[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]THE WIND FISH SLUMBERS LONG...
THE HERO'S LIFE GONE...[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]SI LE POISSON-RÊVE NE SE RÉVEILLE PAS,
LE HÉROS SUR CETTE ÎLE PÉRIRA...[Tag Color  val={EDEDEDFF} ][KeyWait]";
"[Tag Color  val={62CFFFFF} ]この[Tag Ruby  val={03000600E38195E3818D} ]先 オオワシの[Tag Ruby  val={03000600E381A8E38186} ]塔 あり
[Tag Ruby  val={06000C00E381A1E38285E38186E38184} ]注意！ この[Tag Ruby  val={03000600E38182E3819F} ]辺り カギなし[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]YOU ARE NEAR THE EAGLE'S TOWER.
BEWARE OF THE BIRD![Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]LA TOUR DU VAUTOUR EST TOUTE PROCHE,
MAIS SA CLÉ NE L'EST PAS.[Tag Color  val={EDEDEDFF} ][KeyWait]";
"[Tag Color  val={62CFFFFF} ]この[Tag Ruby  val={03000600E38182E3819F} ]辺り ヒミツなし[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]YOU ARE FAR FROM ANY SECRETS...[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]PRÈS D'ICI, PAS DE SECRET.[Tag Color  val={EDEDEDFF} ][KeyWait]";
"[Tag Color  val={62CFFFFF} ]クチバシのない [Tag Ruby  val={06000C00E3819BE3818DE3819EE38186} ]石像が [Tag Ruby  val={03000600E381AAE381AB} ]何か[Tag Ruby  val={03000300E38184} ]言っている。
……[Tag Ruby  val={03000300E3818D} ]聞き[Tag Ruby  val={03000300E381A8} ]取れない[Tag Color  val={EDEDEDFF} ][KeyWait] ";"[Tag Color  val={62CFFFFF} ]The beakless statue is saying something...
You can't make it out.[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]La statue sans bec vous parle.
Mais vous ne comprenez pas ce qu'elle dit...[Tag Color  val={EDEDEDFF} ][KeyWait]";
"[Tag Color  val={62CFFFFF} ]トゲ スルドキモノ タテニテ
ハジキ トバスベシ……[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]Turn aside the spined ones with a shield...[Tag Color  val={EDEDEDFF} ][KeyWait]";"[Tag Color  val={62CFFFFF} ]Avec ton bouclier, renverse les créatures aux
pointes acérées...[Tag Color  val={EDEDEDFF} ][KeyWait]";
