Japanese;English;French;
"うーん、やっぱりプロロ島がいちばんですねぇ。空気もきれいだし なにせふるさとに帰ってきたという気が一番します。";"I have to admit, Outset Island really has it goin' on. It's so clean and bright--what's not to like?";"L'île de l'Aurore est un vrai paradis... C'est beau, ensoleillé... Rien à redire.";
"[A][B][C][L][R][X][Y][Z][LS][L-Arrow]
[R-Arrow][D-Arrow][LS-Up][LS-Down][LS-Left][LS-Right][LS-UpDown][LS-LeftRight][A-Burst][TargetIcon]
[HeartIcon][MusicalNote][Plus][Plus][Minus]";"Now saving...
Do not touch the Memory Card or
the POWER Button.";"Sauvegarde en cours.

Ne touchez pas à la Memory Card 
(carte mémoire) dans le Slot A, ni au
bouton POWER.";
"[ZL][ZR][RS][RS-Up][RS-Down][RS-Left][RS-Right][RS-UpDown][RS-LeftRight][Juuji]
[JuujiUp][JuujiDown][JuujiLeft][juujiRight][PageTri][sail1][sail2]";"The game could not be saved.";"La sauvegarde peut avoir échoué.";
"[Tag Color  val={0001} ][Tag Ruby  val={00020006307F306A307F} ]南の[Tag Ruby  val={0006000C30883046305B30443058307E} ]妖精島[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to [Tag Color  val={0001} ]Southern
Fairy Island[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]l'îlot méridional des Fées[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ]チンクル[Tag Ruby  val={0002000430683046} ]島[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to [Tag Color  val={0001} ]Tingle Island[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]l'île de Tingle[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ]このエリア[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to [Tag Color  val={0001} ]this area[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]cette zone[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ][Tag Ruby  val={0006000A304A308430533058307E} ]親子島[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to the [Tag Color  val={0001} ]Mother & Child
Isles[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]l'île Géminée[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ]タウラ[Tag Ruby  val={0002000430683046} ]島[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to [Tag Color  val={0001} ]Windfall Island[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]Mercantîle[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ][Tag Ruby  val={00020006308A30853046} ]竜の[Tag Ruby  val={000200043057307E} ]島[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to [Tag Color  val={0001} ]Dragon Roost Island[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]l'île du Dragon[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ][Tag Ruby  val={000200063055304B306A} ]魚の[Tag Ruby  val={000200043057307E} ]島[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to [Tag Color  val={0001} ]Greatfish Isle[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]l'île du Poisson[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ][Tag Ruby  val={00020004304B307F} ]神の[Tag Ruby  val={0002000430683046} ]塔[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to the [Tag Color  val={0001} ]Tower of
the Gods[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]la tour des Dieux[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ][Tag Ruby  val={000200043082308A} ]森の[Tag Ruby  val={000200043057307E} ]島[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to the [Tag Color  val={0001} ]Forest Haven[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]l'île aux Forêts[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ]プロロ[Tag Ruby  val={0002000430683046} ]島[Tag Color  val={FFFF} ][Tag Color  val={0000} ]にワープしますか？[Tag Color  val={FFFF} ]";"Warp to [Tag Color  val={0001} ]Outset Island[Tag Color  val={FFFF} ][Tag Color  val={0000} ]?[Tag Color  val={FFFF} ]";"Prendre la tornade vers
[Tag Color  val={0001} ]l'île de l'Aurore[Tag Color  val={FFFF} ][Tag Color  val={0000} ] ?[Tag Color  val={FFFF} ]";
"[Tag Color  val={0002} ][Tag Ruby  val={00020006307F3069308A} ]緑ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた
[Tag Color  val={FFFF} ][Tag Color  val={0006} ]１ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]だ！
たくさん[Tag Ruby  val={0002000430423064} ]集めよう！[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0002} ]Green Rupee[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
That's worth [Tag Color  val={FFFF} ][Tag Color  val={0006} ]1 Rupee[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Better collect lots of them![Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0002} ]rubis vert [Tag Color  val={FFFF} ]!
Le [Tag Color  val={0006} ]rubis[Tag Color  val={FFFF} ] est la monnaie de ce jeu.
Tentez d'en trouver le plus possible !";
"[Tag Color  val={0003} ][Tag Ruby  val={000200043042304A} ]青ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた
[Tag Color  val={FFFF} ][Tag Color  val={0006} ]５ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]だ！
チョッピリ、うれしい[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0003} ]Blue Rupee[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
That's worth [Tag Color  val={FFFF} ][Tag Color  val={0006} ]5 Rupees[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
Not too bad, huh?[Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0003} ]rubis bleu [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Un rubis bleu vaut [Tag Color  val={FFFF} ][Tag Color  val={0006} ]5 rubis verts[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
C'est bien ![Tag Color  val={FFFF} ]";
"[Tag Color  val={0004} ][Tag Ruby  val={00020002304D} ]黄ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた
[Tag Color  val={FFFF} ][Tag Color  val={0006} ]１０ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]だ！
うれしい[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0004} ]Yellow Rupee[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
That's worth [Tag Color  val={FFFF} ][Tag Color  val={0006} ]10 Rupees[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
Not too shabby![Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0004} ]rubis jaune [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Un rubis jaune vaut [Tag Color  val={FFFF} ][Tag Color  val={0006} ]10 rubis verts[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
C'est super ![Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ][Tag Ruby  val={000200043042304B} ]赤ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた
[Tag Color  val={FFFF} ][Tag Color  val={0006} ]２０ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]だ！
[Tag Ruby  val={000400063044304C3044} ]意外とうれしい[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0001} ]Red Rupee[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
That's [Tag Color  val={FFFF} ][Tag Color  val={0006} ]20 Rupees[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
What a pleasant surprise![Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0001} ]rubis rouge [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Un rubis rouge vaut [Tag Color  val={FFFF} ][Tag Color  val={0006} ]20 rubis verts[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
C'est formidable ![Tag Color  val={FFFF} ]";
"[Tag Color  val={0006} ][Tag Ruby  val={00020008308030893055304D} ]紫ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた
[Tag Color  val={FFFF} ][Tag Color  val={0006} ]５０ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]だ！
けっこううれしい[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0006} ]Purple Rupee[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
That's worth [Tag Color  val={FFFF} ][Tag Color  val={0006} ]50 Rupees[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
That's just great![Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0006} ]rubis violet [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Un rubis violet vaut [Tag Color  val={FFFF} ][Tag Color  val={0006} ]50 rubis verts[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
C'est fantastique ![Tag Color  val={FFFF} ]";
"[Tag Color  val={0008} ]オレンジルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた
１コで[Tag Color  val={FFFF} ][Tag Color  val={0006} ]１００ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]だ！
[Tag Ruby  val={00020004304B304A} ]顔がニヤける[Tag Color  val={FFFF} ]";"You got an [Tag Color  val={0008} ]Orange Rupee[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Just one of these is worth
[Tag Color  val={FFFF} ][Tag Color  val={0006} ]100 Rupees[Tag Color  val={FFFF} ][Tag Color  val={0000} ]! Your face is beaming![Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0008} ]rubis orange [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Un rubis orange vaut
[Tag Color  val={FFFF} ][Tag Color  val={0006} ]100 rubis verts[Tag Color  val={FFFF} ][Tag Color  val={0000} ]. C'est grandiose ![Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ]ハートのかけら[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた！
４つのかけらで　１つの[Tag Ruby  val={0002000630463064308F} ]器
[Tag Ruby  val={0002000630463064308F} ]器が[Tag Ruby  val={000200023075} ]増えれば　ライフが[Tag Ruby  val={000200023075} ]増える！[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0001} ]Piece of Heart[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Collect four of these to complete a
new Heart Container. More Heart
Containers equals more life![Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0001} ]quart de cœur [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
4 quarts de cœur vous donnent un
réceptacle de cœur. Un réceptacle
de plus augmente votre jauge
d'énergie vitale.[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ]ハートの[Tag Ruby  val={0002000630463064308F} ]器[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた！
ライフが[Tag Color  val={FFFF} ][Tag Color  val={0001} ]１つ[Tag Color  val={FFFF} ][Tag Color  val={0000} ][Tag Ruby  val={000200023075} ]増えた！
おまけに　[Tag Ruby  val={0004000A305F3044308A3087304F} ]体力　[Tag Ruby  val={00020004305C3093} ]全[Tag Ruby  val={00040008304B30443075304F} ]回復！[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0001} ]Heart Container[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Your life energy has increased by
[Tag Color  val={FFFF} ][Tag Color  val={0001} ]one[Tag Color  val={FFFF} ][Tag Color  val={0000} ]! Plus, your life gauge has been
replenished![Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0001} ]réceptacle de cœur [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Votre énergie vitale 
augmente d'[Tag Color  val={FFFF} ][Tag Color  val={0001} ]un cœur [Tag Color  val={FFFF} ][Tag Color  val={0000} ]! Et votre jauge
d'énergie vitale est remplie ![Tag Color  val={FFFF} ]";
"シルバールピーを[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた
１コでなんと、[Tag Color  val={0006} ]２００ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]！
もう、[Tag Ruby  val={0002000430553051} ]叫びたい！！！[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0007} ]Silver Rupee[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
One is worth a whopping [Tag Color  val={FFFF} ][Tag Color  val={0006} ]200 Rupees[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
It's time to jump for joy![Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0007} ]rubis argenté [Tag Color  val={FFFF} ]!
Un rubis argenté vaut
[Tag Color  val={0006} ]200 rubis verts[Tag Color  val={FFFF} ][Tag Color  val={0000} ]. C'est grandiose ![Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ][Tag Ruby  val={0002000430613044} ]小さなカギ[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた！[Tag Color  val={FFFF} ][Tag Color  val={0001} ]
[Tag Color  val={FFFF} ][Tag Color  val={0000} ]カギのかかったドアを　[Tag Ruby  val={0002000430723089} ]開くカギ
ここでしか　[Tag Ruby  val={000200043064304B} ]使えない[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0001} ]small key[Tag Color  val={FFFF} ][Tag Color  val={0000} ]![Tag Color  val={FFFF} ][Tag Color  val={0001} ]
[Tag Color  val={FFFF} ][Tag Color  val={0000} ]Use it to open locked doors.
You can use it only in this dungeon.[Tag Color  val={FFFF} ]";"Vous obtenez une [Tag Color  val={0001} ]petite clé [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Les petites clés permettent d'ouvrir 
les portes verrouillées des alentours.[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ]ハートのかけら[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた！
[Tag Ruby  val={0002000430423064} ]集めたかけらは　[Tag Ruby  val={00040006305C30933076} ]全部で[Tag Color  val={FFFF} ][Tag Color  val={0001} ]２つ[Tag Color  val={FFFF} ][Tag Color  val={0000} ]
あと[Tag Color  val={FFFF} ][Tag Color  val={0001} ]２つ[Tag Color  val={FFFF} ][Tag Color  val={0000} ][Tag Ruby  val={0002000430423064} ]集めればライフが１つ[Tag Ruby  val={000200023075} ]増える[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0001} ]Piece of Heart[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
You've collected a total of [Tag Color  val={FFFF} ][Tag Color  val={0001} ]two
pieces[Tag Color  val={FFFF} ][Tag Color  val={0000} ]. Get [Tag Color  val={FFFF} ][Tag Color  val={0001} ]two[Tag Color  val={FFFF} ][Tag Color  val={0000} ] more to complete
another Heart Container.[Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0001} ]quart de cœur [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Vous avez [Tag Color  val={FFFF} ][Tag Color  val={0001} ]2 quarts de cœur[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
Si vous en trouvez encore [Tag Color  val={FFFF} ][Tag Color  val={0001} ]2[Tag Color  val={FFFF} ][Tag Color  val={0000} ], votre
énergie vitale augmentera d'[Tag Color  val={FFFF} ]un cœur.";
"[Tag Color  val={0001} ]ハートのかけら[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた！
[Tag Ruby  val={0002000430423064} ]集めたかけらは　[Tag Ruby  val={00040006305C30933076} ]全部で[Tag Color  val={FFFF} ][Tag Color  val={0001} ]３つ[Tag Color  val={FFFF} ][Tag Color  val={0000} ]
あと[Tag Color  val={FFFF} ][Tag Color  val={0001} ]１つ[Tag Color  val={FFFF} ][Tag Color  val={0000} ][Tag Ruby  val={0002000430423064} ]集めればライフが１つ[Tag Ruby  val={000200023075} ]増える[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0001} ]Piece of Heart[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
You've collected [Tag Color  val={FFFF} ][Tag Color  val={0001} ]three[Tag Color  val={FFFF} ][Tag Color  val={0000} ] so far. Collect
[Tag Color  val={FFFF} ][Tag Color  val={0001} ]one[Tag Color  val={FFFF} ][Tag Color  val={0000} ] more to increase your life energy
by one heart.[Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0001} ]quart de cœur [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Vous avez [Tag Color  val={FFFF} ][Tag Color  val={0001} ]3 quarts de cœur[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
Si vous en trouvez encore [Tag Color  val={FFFF} ][Tag Color  val={0001} ]1[Tag Color  val={FFFF} ][Tag Color  val={0000} ], votre
[Tag Color  val={0000} ]énergie vitale augmentera d'[Tag Color  val={0000} ]un cœur.[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ]ハートのかけら[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた！
かけら[Tag Color  val={FFFF} ][Tag Color  val={0001} ]４つ[Tag Color  val={FFFF} ][Tag Color  val={0000} ]で　[Tag Ruby  val={0002000630463064308F} ]器が[Tag Ruby  val={00040008304B3093305B3044} ]完成！
これで、ライフが[Tag Color  val={FFFF} ][Tag Color  val={0001} ]１つ[Tag Color  val={FFFF} ][Tag Color  val={0000} ][Tag Ruby  val={000200023075} ]増えた[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0001} ]Piece of Heart[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
That's the [Tag Color  val={FFFF} ][Tag Color  val={0001} ]fourth[Tag Color  val={FFFF} ][Tag Color  val={0000} ] piece, completing
another Heart Container! Your life
energy has increased by [Tag Color  val={FFFF} ][Tag Color  val={0001} ]one heart[Tag Color  val={FFFF} ][Tag Color  val={0000} ]![Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0001} ]quart de cœur [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Vos [Tag Color  val={FFFF} ][Tag Color  val={0001} ]4 quarts de cœur[Tag Color  val={FFFF} ][Tag Color  val={0000} ] vous donnent 
un réceptacle de cœur : votre énergie
vitale augmente d'[Tag Color  val={FFFF} ][Tag Color  val={0001} ]un cœur[Tag Color  val={FFFF} ][Tag Color  val={0000} ].[Tag Color  val={FFFF} ]";
"[Tag Color  val={0004} ][Tag Ruby  val={00020002304D} ]黄ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた
[Tag Color  val={FFFF} ][Tag Color  val={0006} ]１０ルピー[Tag Color  val={FFFF} ][Tag Color  val={0000} ]だ！
えっ？　こ、これだけ・・・[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0004} ]Yellow Rupee[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
That's [Tag Color  val={FFFF} ][Tag Color  val={0006} ]10 Rupees[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
What?! Th-That's it?!
This is a joke, right?[Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0004} ]rubis jaune [Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
Un rubis jaune vaut [Tag Color  val={FFFF} ][Tag Color  val={0006} ]10 rubis verts[Tag Color  val={FFFF} ][Tag Color  val={0000} ].
Hein ? C'est... C'est tout ???[Tag Color  val={FFFF} ]";
"[Tag Color  val={0001} ][Tag Ruby  val={0002000630573042308F} ]幸せのペンダント[Tag Color  val={FFFF} ][Tag Color  val={0000} ]を[Tag Ruby  val={000200023066} ]手に[Tag Ruby  val={000200023044} ]入れた！
エモノ[Tag Ruby  val={000200063076304F308D} ]袋に[Tag Ruby  val={000200023044} ]入れておこう

[Tag Ruby  val={00020004306F306A} ]花に[Tag Ruby  val={0002000430423064} ]集まる[Tag Ruby  val={00020006306130873046} ]蝶のように
[Tag Ruby  val={0002000630573042308F} ]幸せをあたえる[Tag Ruby  val={000200043082306E} ]者のところに
[Tag Ruby  val={0002000430423064} ]集まるといわれるペンダント[Tag Color  val={FFFF} ]";"You got a [Tag Color  val={0001} ]Joy Pendant[Tag Color  val={FFFF} ][Tag Color  val={0000} ]!
You can keep it in your Spoils Bag.


These pendants are said to flock to
those who spread joy, like butterflies
to nectar-filled blossoms.[Tag Color  val={FFFF} ]";"Vous obtenez un [Tag Color  val={0001} ]pendentif du bonheur[Tag Color  val={FFFF} ][Tag Color  val={0000} ],[Tag Color  val={0000} ]
[Tag Color  val={0000} ]qui sera placé dans votre sac à butin.


À la manière des papillons attirés
par les fleurs, on dit ces pendentifs
attirés par ceux qui font le bonheur
de leur entourage.[Tag Color  val={FFFF} ]";
